year,count_loans,sum_amt,avg_amt,std_amt,min_amt,max_amt
2014,3438718.0,790062749.0,229.7550276004022429,300.103449094670,1.0,99999.0
2013,3954650.0,872905868.0,220.7289818315147990,251.620904207614,1.0,99999.0
2012,3718382.0,763660055.0,205.3742877950678548,209.789338829787,1.0,50000.0
2011,3714986.0,732674086.0,197.2212239830782673,198.833506684132,1.0,99999.0
2010,3993824.0,800490642.0,200.4321277051767930,182.670565654397,1.0,30000.0
2009,4527628.0,866797009.0,191.4461632006869822,194.248245886775,1.0,99999.0
2008,19890392.0,4294014268.0,215.8838432143519343,257.878877222168,1.0,95000.0
2007,7759133.0,1627539356.0,209.7578886713244895,238.633074787930,1.0,99999.0
2006,9208107.0,1758131486.0,190.9329991495537574,211.516933565993,1.0,90000.0
2005,9102573.0,1755045740.0,192.8076533964627364,201.930477807920,1.0,80000.0
2004,7794848.0,1447659201.0,185.7200039051434999,191.090654546773,1.0,99999.0
