year,rate_spread,count
2014,01.50,744.0
2014,01.51,642.0
2014,01.52,546.0
2014,01.53,564.0
2014,01.54,522.0
2014,01.55,536.0
2014,01.56,578.0
2014,01.57,748.0
2014,01.58,681.0
2014,01.59,771.0
2014,01.60,1006.0
2014,01.61,997.0
2014,01.62,1421.0
2014,01.63,1232.0
2014,01.64,1214.0
2014,01.65,1323.0
2014,01.66,997.0
2014,01.67,876.0
2014,01.68,702.0
2014,01.69,477.0
2014,01.70,444.0
2014,01.71,414.0
2014,01.72,399.0
2014,01.73,378.0
2014,01.74,363.0
2014,01.75,355.0
2014,01.76,365.0
2014,01.77,373.0
2014,01.78,310.0
2014,01.79,291.0
2014,01.80,368.0
2014,01.81,309.0
2014,01.82,313.0
2014,01.83,323.0
2014,01.84,292.0
2014,01.85,313.0
2014,01.86,328.0
2014,01.87,328.0
2014,01.88,301.0
2014,01.89,298.0
2014,01.90,297.0
2014,01.91,308.0
2014,01.92,320.0
2014,01.93,287.0
2014,01.94,312.0
2014,01.95,299.0
2014,01.96,298.0
2014,01.97,261.0
2014,01.98,244.0
2014,01.99,255.0
2014,02.00,300.0
2014,02.01,248.0
2014,02.02,223.0
2014,02.03,251.0
2014,02.04,273.0
2014,02.05,269.0
2014,02.06,242.0
2014,02.07,281.0
2014,02.08,250.0
2014,02.09,255.0
2014,02.10,280.0
2014,02.11,250.0
2014,02.12,279.0
2014,02.13,231.0
2014,02.14,237.0
2014,02.15,253.0
2014,02.16,210.0
2014,02.17,214.0
2014,02.18,285.0
2014,02.19,231.0
2014,02.20,218.0
2014,02.21,205.0
2014,02.22,225.0
2014,02.23,213.0
2014,02.24,231.0
2014,02.25,204.0
2014,02.26,214.0
2014,02.27,166.0
2014,02.28,212.0
2014,02.29,180.0
2014,02.30,183.0
2014,02.31,200.0
2014,02.32,178.0
2014,02.33,195.0
2014,02.34,190.0
2014,02.35,191.0
2014,02.36,175.0
2014,02.37,179.0
2014,02.38,193.0
2014,02.39,209.0
2014,02.40,199.0
2014,02.41,199.0
2014,02.42,150.0
2014,02.43,188.0
2014,02.44,154.0
2014,02.45,165.0
2014,02.46,181.0
2014,02.47,166.0
2014,02.48,185.0
2014,02.49,168.0
2014,02.50,177.0
2014,02.51,133.0
2014,02.52,168.0
2014,02.53,155.0
2014,02.54,137.0
2014,02.55,132.0
2014,02.56,143.0
2014,02.57,129.0
2014,02.58,143.0
2014,02.59,135.0
2014,02.60,119.0
2014,02.61,150.0
2014,02.62,130.0
2014,02.63,139.0
2014,02.64,112.0
2014,02.65,141.0
2014,02.66,164.0
2014,02.67,155.0
2014,02.68,121.0
2014,02.69,119.0
2014,02.70,141.0
2014,02.71,122.0
2014,02.72,114.0
2014,02.73,119.0
2014,02.74,142.0
2014,02.75,139.0
2014,02.76,128.0
2014,02.77,98.0
2014,02.78,136.0
2014,02.79,126.0
2014,02.80,111.0
2014,02.81,135.0
2014,02.82,128.0
2014,02.83,161.0
2014,02.84,108.0
2014,02.85,127.0
2014,02.86,126.0
2014,02.87,105.0
2014,02.88,95.0
2014,02.89,111.0
2014,02.90,107.0
2014,02.91,113.0
2014,02.92,120.0
2014,02.93,102.0
2014,02.94,97.0
2014,02.95,96.0
2014,02.96,87.0
2014,02.97,80.0
2014,02.98,92.0
2014,02.99,88.0
2014,03.00,90.0
2014,03.01,74.0
2014,03.02,55.0
2014,03.03,71.0
2014,03.04,79.0
2014,03.05,77.0
2014,03.06,81.0
2014,03.07,81.0
2014,03.08,68.0
2014,03.09,80.0
2014,03.10,84.0
2014,03.11,71.0
2014,03.12,67.0
2014,03.13,70.0
2014,03.14,64.0
2014,03.15,92.0
2014,03.16,64.0
2014,03.17,90.0
2014,03.18,75.0
2014,03.19,65.0
2014,03.20,68.0
2014,03.21,59.0
2014,03.22,61.0
2014,03.23,72.0
2014,03.24,74.0
2014,03.25,58.0
2014,03.26,63.0
2014,03.27,70.0
2014,03.28,61.0
2014,03.29,56.0
2014,03.30,50.0
2014,03.31,69.0
2014,03.32,59.0
2014,03.33,57.0
2014,03.34,49.0
2014,03.35,54.0
2014,03.36,50.0
2014,03.37,47.0
2014,03.38,56.0
2014,03.39,48.0
2014,03.40,53.0
2014,03.41,51.0
2014,03.42,63.0
2014,03.43,39.0
2014,03.44,57.0
2014,03.45,42.0
2014,03.46,52.0
2014,03.47,39.0
2014,03.48,58.0
2014,03.49,43.0
2014,03.50,79.0
2014,03.51,65.0
2014,03.52,76.0
2014,03.53,61.0
2014,03.54,66.0
2014,03.55,69.0
2014,03.56,67.0
2014,03.57,62.0
2014,03.58,52.0
2014,03.59,66.0
2014,03.60,59.0
2014,03.61,56.0
2014,03.62,62.0
2014,03.63,70.0
2014,03.64,51.0
2014,03.65,59.0
2014,03.66,61.0
2014,03.67,67.0
2014,03.68,59.0
2014,03.69,53.0
2014,03.70,46.0
2014,03.71,49.0
2014,03.72,44.0
2014,03.73,52.0
2014,03.74,53.0
2014,03.75,51.0
2014,03.76,37.0
2014,03.77,41.0
2014,03.78,55.0
2014,03.79,47.0
2014,03.80,48.0
2014,03.81,42.0
2014,03.82,59.0
2014,03.83,36.0
2014,03.84,43.0
2014,03.85,50.0
2014,03.86,40.0
2014,03.87,53.0
2014,03.88,28.0
2014,03.89,37.0
2014,03.90,42.0
2014,03.91,49.0
2014,03.92,41.0
2014,03.93,36.0
2014,03.94,26.0
2014,03.95,41.0
2014,03.96,37.0
2014,03.97,33.0
2014,03.98,25.0
2014,03.99,27.0
2014,04.00,51.0
2014,04.01,30.0
2014,04.02,31.0
2014,04.03,32.0
2014,04.04,30.0
2014,04.05,31.0
2014,04.06,33.0
2014,04.07,27.0
2014,04.08,28.0
2014,04.09,20.0
2014,04.10,26.0
2014,04.11,25.0
2014,04.12,31.0
2014,04.13,29.0
2014,04.14,21.0
2014,04.15,26.0
2014,04.16,21.0
2014,04.17,33.0
2014,04.18,21.0
2014,04.19,19.0
2014,04.20,22.0
2014,04.21,29.0
2014,04.22,22.0
2014,04.23,23.0
2014,04.24,24.0
