,name,std,mean,median,max_mult,min_mult,q98,q02,q75,q25,iqr,min_q,max_q,count of loans,pct of total loans
0,0 to 10,74.4471600018307,111.12351945854483,92.0,318.0,0.25,298.20000000000005,13.8,153.0,50.0,103.0,-104.5,307.5,591,0.22197747491245357
0,10 to 30,46.72337066147788,87.27554550292709,80.0,20.0,0.05263157894736842,200.0,18.0,118.0,50.0,68.0,-52.0,220.0,7516,2.753407234897178
0,30 to 50,69.45936665334509,134.2152260307998,129.0,10.966666666666667,0.030303030303030304,287.9400000000005,24.0,183.0,78.0,105.0,-79.5,340.5,16104,5.607744320138574
0,50 to 70,91.86731406463555,184.70831421492153,179.0,9.0,0.06451612903225806,380.0,35.0,252.0,110.0,142.0,-103.0,465.0,21794,7.502224889437486
0,70 to 90,109.85816762134267,228.76338274450583,222.0,7.830985915492958,0.0958904109589041,464.0,45.0,309.0,141.0,168.0,-111.0,561.0,25163,8.640413539603033
0,90 to 110,127.31020283031948,268.6217285794288,258.0,6.955555555555556,0.07476635514018691,548.0,56.0,356.0,168.0,188.0,-114.0,638.0,26785,9.193481841151419
0,110 to 130,142.70058249748806,309.4858714490242,296.0,6.363636363636363,0.05454545454545454,623.0,70.0,401.0,199.0,202.0,-104.0,704.0,26542,9.139948102962087
0,130 to 150,157.1286531338779,347.7267801857585,329.5,6.076923076923077,0.05555555555555555,698.0,85.0,456.0,228.0,228.0,-114.0,798.0,24548,8.448101257190398
0,150 to 170,172.0503811826066,384.2753473039793,361.0,5.833333333333333,0.05333333333333334,772.0,97.0,504.0,256.0,248.0,-116.0,876.0,21235,7.349466197024615
0,170 to 190,184.77691608104612,420.37110529906755,392.0,5.547058823529412,0.045454545454545456,850.0,112.0,547.0,283.0,264.0,-113.0,943.0,17588,6.11205259263553
0,190 to 210,203.00626978191332,459.3591316658801,428.0,5.392670157068062,0.038461538461538464,936.7200000000012,121.0,595.0,308.0,287.0,-122.5,1025.5,14833,5.1671991625550255
0,210 to 230,220.97163682630443,503.5770470664088,482.0,5.213270142180095,0.13452914798206278,1013.7200000000012,132.0,640.0,336.0,304.0,-120.0,1096.0,12408,4.3205477490256525
0,230 to 250,235.41690710466716,541.5343351910828,524.0,5.142857142857143,0.1276595744680851,1080.119999999999,141.0,690.0,363.0,327.0,-127.5,1180.5,10048,3.51174502937536
0,250 to 270,256.1072761182564,583.9726513331045,562.0,5.055555555555555,0.09652509652509653,1173.0,149.76,740.0,388.0,352.0,-140.0,1268.0,8739,3.056537765153969
0,270 to 290,282.3963348788312,627.2311470673216,599.5,5.185185185185185,0.028070175438596492,1280.0,160.0,800.75,410.0,390.75,-176.125,1386.875,6922,2.4144738861061197
0,290 to 310,315.04896550759634,680.7665198237886,639.0,5.412371134020619,0.02711864406779661,1400.8799999999992,160.0,889.0,429.0,460.0,-261.0,1579.0,6129,2.1161170649872303
0,310 to 330,323.6693490332664,712.7435532994924,672.0,5.161290322580645,0.025396825396825397,1457.079999999998,175.0,930.0,470.0,460.0,-220.0,1620.0,4925,1.7066010168000463
0,330 to 350,342.3327232784709,748.8364189703271,700.0,5.2272727272727275,0.14450867052023122,1550.0,188.0,988.5,490.0,498.5,-257.75,1736.25,3943,1.368008647233124
0,350 to 370,355.69169643901506,763.2856378710885,714.0,4.926553672316384,0.1392757660167131,1560.0,163.52,1000.0,500.0,500.0,-250.0,1750.0,3739,1.3042455323197157
0,370 to 390,388.52329942572794,812.2478376580173,749.5,5.094594594594595,0.061696658097686374,1719.2000000000007,192.0,1075.0,520.0,555.0,-312.5,1907.5,3006,1.0396456543902781
0,390 to 410,398.8791503237374,830.0378815741082,770.0,4.91183879093199,0.05,1750.0,199.36,1100.0,526.0,574.0,-335.0,1961.0,2719,0.9441714716322335
0,410 to 430,435.43523383455823,890.1874431301183,828.0,4.942028985507246,0.05714285714285714,1940.06,203.76,1187.75,560.0,627.75,-381.625,2129.375,2198,0.7522001684437367
0,430 to 450,448.9081441860341,899.4880754298391,852.0,4.758928571428571,0.09259259259259259,1994.4000000000005,187.12,1196.0,544.0,652.0,-434.0,2174.0,1803,0.619559250254882
0,450 to 470,459.1369283101999,918.6807875894988,860.0,4.856512141280353,0.07894736842105263,1995.5,200.0,1229.0,574.75,654.25,-406.625,2210.375,1676,0.5752319511172184
0,470 to 490,482.4092369451901,950.8134328358209,888.0,4.879492600422833,0.14583333333333334,2000.0,186.76,1280.0,576.5,703.5,-478.75,2335.25,1474,0.5070361062900437
0,490 to 510,498.3446026980377,957.9531140657803,896.0,4.724409448818897,0.05,2000.0,195.0,1320.0,575.0,745.0,-542.5,2437.5,1429,0.4916920412039294
0,510 to 530,476.3743186294832,990.4801762114538,953.0,4.529411764705882,0.08969465648854962,2000.0,212.16,1320.0,626.0,694.0,-415.0,2361.0,1135,0.3931490454286621
0,530 to 550,510.9189147033869,968.1849710982659,910.0,4.522641509433963,0.10382513661202186,2000.0,193.48000000000002,1300.0,567.0,733.0,-532.5,2399.5,1038,0.35939210223921053
0,550 to 570,494.83310496862055,1000.6044776119403,960.0,4.193548387096774,0.12743362831858407,2000.0,200.0,1343.0,625.0,718.0,-452.0,2420.0,938,0.3256351590497591
0,570 to 590,512.8319190231012,1041.8402948402947,987.0,4.375,0.05574912891986063,2104.44,253.04000000000002,1398.0,626.5,771.5,-530.75,2555.25,814,0.2809668806879597
0,590 to 610,565.6448023943972,1086.1042873696408,1000.0,4.51559934318555,0.08333333333333333,2294.96,167.84000000000003,1480.0,631.0,849.0,-642.5,2753.5,863,0.29699290422234575
0,610 to 630,572.0395360193478,1084.0,1025.0,4.447115384615385,0.07804878048780488,2458.5199999999986,166.48000000000002,1497.5,628.5,869.0,-675.0,2801.0,599,0.20561047215393166
0,630 to 650,553.1466249209329,1097.1733102253033,1048.0,4.185647425897036,0.02830188679245283,2157.3600000000015,197.12,1500.0,640.0,860.0,-650.0,2790.0,577,0.19879088767121417
0,650 to 670,563.7893293190385,1086.369337979094,1000.0,4.180704441041348,0.11363636363636363,2245.3999999999996,205.06,1480.0,634.25,845.75,-634.375,2748.625,574,0.19947284611948596
0,670 to 690,558.2480236553971,1130.106719367589,1093.5,3.8507462686567164,0.08454810495626822,2223.0,190.10000000000002,1523.75,693.25,830.5,-552.5,2769.5,506,0.17526332120583893
0,690 to 710,599.6205254868869,1120.842,1041.0,4.028776978417266,0.10071942446043165,2555.1,199.62,1500.75,635.5,865.25,-662.375,2798.625,500,0.1718535289644802
0,710 to 730,599.7562479279611,1096.3169533169532,1000.0,3.9390581717451525,0.020833333333333332,2449.5599999999995,141.20000000000002,1500.0,604.0,896.0,-740.0,2844.0,407,0.1411653987922516
