,name,std,mean,median,max_mult,med_mult,min_mult,q98,q02,q75,q25,iqr,min_q,max_q,count of loans,pct of total loans
0,0 to 20,45.252386621908045,78.20046388336647,68.0,208.0,4.766968325791855,0.05263157894736842,190.0,15.0,104.0,43.25,60.75,-47.875,195.125,3388,1.155237611372339
0,20 to 50,67.15420365843175,124.88762191961551,116.0,16.0,3.34375,0.030303030303030304,278.0,23.0,170.0,71.0,99.0,-77.5,318.5,21784,7.427891418575866
0,50 to 80,97.65313417859531,196.40581327069876,190.0,9.6,2.9453300124533,0.06451612903225806,402.0,36.0,266.0,118.0,148.0,-104.0,488.0,34379,11.722524746567192
0,80 to 110,122.94764674214821,258.4640836532633,249.0,7.54320987654321,2.641304347826087,0.07476635514018691,531.0,52.0,345.0,161.0,184.0,-115.0,621.0,39925,13.613595523624747
0,110 to 140,145.9484955109972,318.098199923401,304.0,6.4,2.446043165467626,0.05454545454545454,631.0,75.0,410.0,206.0,204.0,-100.0,716.0,39616,13.50823294336676
0,140 to 170,168.07347532140057,374.49466364323507,353.0,6.121428571428571,2.2962962962962963,0.05333333333333334,750.0,94.0,492.0,249.0,243.0,-115.5,856.5,33519,11.42928261381034
0,170 to 200,189.29728295648857,428.75765072018515,400.0,5.647058823529412,2.1797752808988764,0.045454545454545456,878.7599999999984,115.0,556.0,288.0,268.0,-114.0,958.0,25558,8.714747010464652
0,200 to 230,213.30297933930026,488.6382340987604,468.0,5.31,2.1933164706954695,0.038461538461538464,984.0,128.0,626.0,328.0,298.0,-119.0,1073.0,20192,6.885052493751556
0,230 to 260,241.58215679535758,552.1385979049154,535.0,5.225108225108225,2.1912697037935214,0.09652509652509653,1103.0,142.82,704.0,369.0,335.0,-133.5,1206.5,15255,5.201638064192748
0,260 to 290,275.99978368323923,617.5029967727063,590.0,5.267175572519084,2.158490566037736,0.028070175438596492,1250.0,156.88,792.0,405.0,387.0,-175.5,1372.5,11089,3.7811186164427
0,290 to 320,316.46509866737443,686.743831471136,643.0,5.462068965517242,2.131620194687345,0.025396825396825397,1416.3600000000006,163.64,900.0,436.75,463.25,-258.125,1594.875,8707,2.9689061045510496
0,320 to 350,334.7664796711231,737.5799186737567,694.0,5.25,2.07492795389049,0.14450867052023122,1500.0,182.85999999999999,967.5,487.25,480.25,-233.125,1687.875,6516,2.221820624469351
0,350 to 380,364.15603791681605,774.5119047619048,720.0,5.025714285714286,1.9829299878591664,0.1392757660167131,1600.0,172.5,1009.5,501.0,508.5,-261.75,1772.25,5484,1.86993006516113
0,380 to 410,396.7560356083079,828.1617719040627,764.0,5.028947368421052,1.9550561097256858,0.05,1750.0,197.7,1100.0,528.0,572.0,-330.0,1958.0,4159,1.4181325931810975
0,410 to 440,435.9568603397886,893.6621794871795,840.0,4.942028985507246,1.9894467100187367,0.05714285714285714,1960.0,200.0,1192.25,560.0,632.25,-388.375,2140.625,3137,1.069651826114235
0,440 to 470,459.1728385258619,910.6776212832551,850.0,4.758928571428571,1.877377909925319,0.07894736842105263,1995.0,200.0,1201.5,559.75,641.75,-402.875,2164.125,2573,0.8773395437016022
0,470 to 500,486.2716434130882,950.8407582938389,884.0,5.053078556263269,1.8191327500950931,0.08016032064128256,2000.0,200.0,1295.0,568.0,727.0,-522.5,2385.5,2128,0.7256037889611386
0,500 to 530,488.43687111686006,980.8637305699482,928.0,4.722222222222222,1.8083152625950571,0.05,2000.0,195.57999999999998,1320.0,604.0,716.0,-470.0,2394.0,1954,0.6662734039614966
0,530 to 560,513.7224538494198,984.4506410256411,937.0,4.613935969868173,1.7209909332356443,0.10382513661202186,2000.0,194.17999999999998,1336.75,588.0,748.75,-535.125,2459.875,1581,0.5390881533588158
0,560 to 590,499.5777360168227,1023.0876623376623,970.0,4.320987654320987,1.6917149914089347,0.05574912891986063,2000.0,237.48000000000002,1360.0,626.0,734.0,-475.0,2461.0,1252,0.4269059886181135
0,590 to 620,563.0495257142152,1075.937339055794,1000.0,4.5,1.6750418760469012,0.07804878048780488,2294.120000000001,170.64000000000001,1470.0,626.0,844.0,-640.0,2736.0,1177,0.40133254680792296
0,620 to 650,562.2101981471885,1103.6380297823596,1041.0,4.447115384615385,1.6474358974358974,0.02830188679245283,2271.1999999999975,184.32,1500.0,643.0,857.0,-642.5,2785.5,880,0.3000617172395686
0,650 to 680,573.2519676911702,1105.9601930036188,1000.0,4.185692541856925,1.5337423312883436,0.11363636363636363,2270.3199999999997,200.0,1500.0,650.0,850.0,-625.0,2775.0,844,0.28778646517067713
0,680 to 710,559.2983877850718,1105.8605898123324,1060.0,3.8640226628895182,1.5277751059641294,0.08454810495626822,2287.4,198.1,1500.0,646.5,853.5,-633.75,2780.25,759,0.2588032311191279
0,710 to 740,600.8526400852174,1121.3236245954693,1033.5,4.067605633802817,1.4208785604740846,0.020833333333333332,2462.64,192.68,1520.0,654.5,865.5,-643.75,2818.25,626,0.21345299430905676
