,name,std,mean,median,max_mult,med_mult,min_mult,q98,q02,q75,q25,iqr,min_q,max_q,count of loans,pct of total loans
0,0 to 20,88.04417782579715,126.8414265829766,110.0,368.0,10.142857142857142,0.05263157894736842,338.0,7.0,181.0,56.0,125.0,-131.5,368.5,41276,1.8621698366022212
0,20 to 50,114.64370807353129,176.7178823352844,164.0,25.5,4.738095238095238,0.02040816326530612,444.0,8.0,254.0,83.0,171.0,-173.5,510.5,110307,4.976508580436119
0,50 to 80,144.72537001358148,237.07972800043564,228.0,13.5,3.537037037037037,0.012658227848101266,560.0,14.0,341.0,117.0,224.0,-219.0,677.0,149167,6.72968039578553
0,80 to 110,172.6950089308242,293.8444205525409,284.0,10.3125,3.0091743119266057,0.009174311926605505,650.0,23.0,420.0,149.0,271.0,-257.5,826.5,179258,8.087238118268267
0,110 to 140,195.93467801881349,345.34658132180135,333.0,8.727272727272727,2.671875,0.007194244604316547,750.0,35.0,494.0,183.0,311.0,-283.5,960.5,199283,8.990667495580979
0,140 to 170,214.88707331654305,390.2920224277002,371.0,7.3546099290780145,2.4038461538461537,0.005917159763313609,861.0,50.0,548.0,215.0,333.0,-284.5,1047.5,204711,9.235552122799625
0,170 to 200,230.01926894039727,431.3773578093327,405.0,6.5588235294117645,2.2060301507537687,0.005025125628140704,948.0,63.0,595.0,247.0,348.0,-275.0,1117.0,195768,8.832088006879147
0,200 to 230,246.22714093258355,472.02574241492476,447.0,5.93,2.085,0.004424778761061947,1005.0,76.0,641.0,277.0,364.0,-269.0,1187.0,176495,7.9625851659828735
0,230 to 260,265.49372523036277,512.3478348076883,490.0,5.543478260869565,2.007843137254902,0.003952569169960474,1120.0,85.0,692.0,303.0,389.0,-280.5,1275.5,147283,6.644683594444349
0,260 to 290,283.7315734221214,549.0280519169806,525.0,5.176923076923077,1.916376306620209,0.0035335689045936395,1200.0,96.0,734.0,325.0,409.0,-288.5,1347.5,119711,5.400770745941673
0,290 to 320,315.6133949148984,594.9614689631402,564.0,5.1,1.8581081081081081,0.003246753246753247,1330.0,100.0,799.0,345.0,454.0,-336.0,1480.0,97736,4.409366972336339
0,320 to 350,339.28086827176656,634.5587864285993,599.0,4.96875,1.7951807228915662,0.0029069767441860465,1425.0,104.0,855.0,364.0,491.0,-372.5,1591.5,78436,3.538646024414474
0,350 to 380,363.5778432783523,662.6690694132373,621.0,4.828571428571428,1.706043956043956,0.002688172043010753,1499.0,103.0,900.0,371.0,529.0,-422.5,1693.5,67880,3.062411292483738
0,380 to 410,386.75100105117014,694.9536874369229,641.0,4.705263157894737,1.628787878787879,0.0025,1594.0,105.0,947.75,384.0,563.75,-461.625,1793.375,54778,2.4713135795473513
0,410 to 440,415.7901051929442,737.7014462097349,680.0,4.626829268292683,1.6091954022988506,0.0023148148148148147,1700.0,106.0,999.0,400.0,599.0,-498.5,1897.5,44542,2.0095156716236104
0,440 to 470,448.3399974656474,771.3605677545905,700.0,4.545454545454546,1.5540689696318835,0.0022675736961451248,1848.0,107.0,1050.0,408.0,642.0,-555.0,2013.0,37357,1.6853638575915586
0,470 to 500,468.7567462416683,795.8818272414569,720.0,4.495762711864407,1.4854166666666666,0.0020325203252032522,1918.0,105.0,1100.0,415.0,685.0,-612.5,2127.5,31725,1.4312757550684532
0,500 to 530,491.59807441218317,826.6916681345781,740.0,4.496,1.445736434108527,0.00196078431372549,1999.0,112.0,1150.0,417.0,733.0,-682.5,2249.5,29021,1.3092845922093483
0,530 to 560,518.5685614646517,854.3502453557659,754.0,4.450094161958568,1.3924288929813793,0.017921146953405017,2040.0,108.0,1200.0,417.0,783.0,-757.5,2374.5,23345,1.053211426385281
0,560 to 590,535.8867332755478,886.6378244746601,796.0,4.359430604982206,1.3796133567662565,0.005208333333333333,2125.880000000001,111.0,1250.0,445.0,805.0,-762.5,2457.5,18935,0.854253945538886
0,590 to 620,563.020709574436,906.0794809407948,800.0,4.242372881355932,1.3266666666666667,0.0033222591362126247,2240.0,108.88,1275.0,440.0,835.0,-812.5,2527.5,18892,0.8523139973129461
0,620 to 650,580.3237811369462,928.5203950193215,820.0,4.193548387096774,1.2973836229236801,0.001564945226917058,2320.539999999999,110.0,1308.0,444.0,864.0,-852.0,2604.0,14282,0.6443335014621796
0,650 to 680,604.3725237014316,961.8826959988188,852.0,4.153846153846154,1.2893939393939393,0.0015060240963855422,2400.0,114.0,1361.75,460.0,901.75,-892.625,2714.375,13846,0.6246633287526494
0,680 to 710,602.2614936714082,965.1233529819694,860.0,3.909090909090909,1.2439355952070852,0.011379800853485065,2400.5999999999985,118.0,1360.0,469.0,891.0,-867.5,2696.5,11856,0.5348843294591514
0,710 to 740,636.1574558385882,994.5433994658528,885.0,3.943661971830986,1.2236111111111112,0.004098360655737705,2500.0,100.0,1420.0,479.0,941.0,-932.5,2831.5,10808,0.48760373083624403
