,name,std,mean,median,max_mult,med_mult,min_mult,q98,q02,q75,q25,iqr,min_q,max_q,count of loans,pct of total loans
0,0 to 20,49.80719507539957,92.2266074856046,81.0,230.0,5.625,0.05555555555555555,210.30000000000018,21.0,124.0,53.0,71.0,-53.5,230.5,8923,2.2031337188344104
0,20 to 50,68.77358481320854,137.49387260998623,129.0,16.6,3.7027027027027026,0.02040816326530612,295.0,31.0,185.0,82.0,103.0,-72.5,339.5,61243,15.121205686717001
0,50 to 80,95.89236100783,207.87601778043725,202.0,9.8,3.1272727272727274,0.01282051282051282,413.0,51.0,276.0,131.0,145.0,-86.5,493.5,94105,23.23499928397537
0,80 to 110,107.49723322368651,259.2781525630949,250.0,7.0875,2.6574074074074074,0.009345794392523364,501.0,78.0,335.0,176.0,159.0,-62.5,573.5,92675,22.881925069256866
0,110 to 140,118.3122420628973,305.3976746998881,293.0,5.7272727272727275,2.3852459016393444,0.008,582.0,103.0,384.0,215.0,169.0,-38.5,637.5,67319,16.621400741702754
0,140 to 170,124.84701937177336,345.0197137969425,336.0,4.771428571428571,2.2,0.05405405405405406,623.0,127.0,419.0,252.0,167.0,1.5,669.5,38042,9.392761731693225
0,170 to 200,141.62125469387442,389.6204379562044,378.0,4.529411764705882,2.0685714285714285,0.041237113402061855,705.0,142.0,480.0,285.0,195.0,-7.5,772.5,19705,4.865263916802876
0,200 to 230,159.64538417688635,435.39793793992266,415.0,4.326732673267327,1.9569377990430623,0.1036036036036036,793.0,150.0,542.0,320.0,222.0,-13.0,875.0,10277,2.5374431501133294
0,230 to 260,176.7018969879279,472.57440758293836,450.0,4.124463519313305,1.860655737704918,0.2125,855.5199999999995,158.0,599.0,348.5,250.5,-27.25,974.75,5358,1.3229172324907288
0,260 to 290,188.73864420902726,498.7769058295964,480.0,3.8587786259541983,1.7486505889547717,0.14855072463768115,931.5,158.0,626.0,368.0,258.0,-19.0,1013.0,2736,0.675532203825053
0,290 to 320,214.76830330581683,528.9485294117648,503.0,3.765886287625418,1.6622477310887482,0.17,1015.0,150.0,679.25,375.0,304.25,-81.375,1135.625,1514,0.3738142385201499
0,320 to 350,220.7932268368112,533.9483726150393,517.0,3.575,1.5478260869565217,0.0030959752321981426,1025.0,158.6,683.0,370.0,313.0,-99.5,1152.5,908,0.22418978109398688
0,350 to 380,231.51652893857374,532.1062717770035,525.0,3.1416666666666666,1.4179299270961754,0.06756756756756757,1066.2599999999993,100.0,683.0,382.0,301.0,-69.5,1134.5,584,0.14419254643049376
0,380 to 410,247.79912985008238,575.1735751295337,552.0,3.155263157894737,1.4130479735318446,0.13144329896907217,1114.0000000000002,142.5,750.0,400.0,350.0,-125.0,1275.0,391,0.09653987269575867
0,410 to 440,279.08830700105887,596.5265306122449,587.0,3.1805225653206652,1.3732057416267942,0.13286713286713286,1141.2400000000002,101.76,809.0,388.0,421.0,-243.5,1440.5,248,0.06123245122390831
0,440 to 470,271.05933170176786,546.5730337078652,528.5,2.8,1.1683130170219536,0.16025641025641027,1200.92,95.86,717.5,359.5,358.0,-177.5,1254.5,180,0.04444290814638506
0,470 to 500,278.74764672617283,530.3260869565217,500.0,2.4926931106471817,1.0416711882799783,0.10602910602910603,1120.8799999999992,87.74000000000001,735.75,333.0,402.75,-271.125,1339.875,141,0.034813611381334965
0,500 to 530,296.2368258715601,555.081081081081,510.0,2.505791505791506,0.99800796812749,0.13293650793650794,1199.0,85.4,741.0,364.0,377.0,-201.5,1306.5,116,0.028640985249892593
0,530 to 560,285.0813964248089,529.013698630137,470.0,2.376599634369287,0.8545454545454545,0.11573236889692586,1176.4400000000003,86.75999999999999,739.0,350.0,389.0,-233.5,1322.5,75,0.01851787839432711
0,560 to 590,228.488105329516,387.3103448275862,355.0,1.7586805555555556,0.6169943523300414,0.09490333919156414,918.54,82.82000000000001,535.0,196.75,338.25,-310.625,1042.375,63,0.015555017851234771
0,590 to 620,258.1123807431487,425.6393442622951,410.0,1.825,0.6833333333333333,0.001658374792703151,946.1999999999998,51.199999999999996,592.0,214.0,378.0,-353.0,1159.0,62,0.015308112805977077
0,620 to 650,278.0027518389522,435.56756756756755,390.0,1.557632398753894,0.6046511627906976,0.14444444444444443,968.32,97.48,700.0,215.0,485.0,-512.5,1427.5,37,0.009135486674534708
0,650 to 680,131.03564488292892,250.06666666666666,222.0,0.8076923076923077,0.331838534963535,0.015151515151515152,518.04,36.68,315.5,164.25,151.25,-62.625,542.375,40,0.00987620181030779
0,680 to 710,267.1388354534162,456.75,417.0,1.5495750708215297,0.5978571428571429,0.08595988538681948,1043.24,92.4,620.5,244.75,375.75,-318.875,1184.125,30,0.007407151357730844
0,710 to 740,356.5642654341786,471.65384615384613,415.0,2.0181564245810057,0.5747889809699201,0.13760217983651227,1272.5,106.5,722.25,171.75,550.5,-654.0,1548.0,26,0.006419531176700065
