,name,std,mean,median,max_mult,med_mult,min_mult,q98,q02,q75,q25,iqr,min_q,max_q,count of loans,pct of total loans
0,0 to 20,200.05636227061012,165.23090900281036,120.0,6000.0,11.2,0.05263157894736842,634.5,7.0,209.0,60.0,149.0,-163.5,432.5,41276,1.8621698366022212
1,20 to 50,573.868456926796,200.51079260609026,169.0,2375.0,4.9,0.02040816326530612,600.0,8.0,265.0,86.0,179.0,-182.5,533.5,110307,4.976508580436119
2,50 to 80,390.25276592933943,250.0563261311148,232.0,1718.5185185185185,3.5892857142857144,0.012658227848101266,632.0,14.0,346.0,119.0,227.0,-221.5,686.5,149167,6.72968039578553
3,80 to 110,418.57447094371616,303.5778542659184,286.0,1060.0,3.03125,0.009174311926605505,698.0,23.0,425.0,151.0,274.0,-260.0,836.0,179258,8.087238118268267
4,110 to 140,294.6713753309701,352.6102527561307,335.0,646.3636363636364,2.688,0.007194244604316547,785.359999999986,35.0,497.0,184.0,313.0,-285.5,966.5,199283,8.990667495580979
5,140 to 170,234.0811069301377,397.14419352159877,373.0,59.602649006622514,2.4178082191780823,0.005917159763313609,900.0,50.0,551.0,216.0,335.0,-286.5,1053.5,204711,9.235552122799625
6,170 to 200,254.3671795256424,440.8422878100609,409.0,65.93406593406593,2.225130890052356,0.005025125628140704,990.0,63.0,600.0,249.0,351.0,-277.5,1126.5,195768,8.832088006879147
7,200 to 230,319.13924068855914,486.1419020368849,452.0,315.49295774647885,2.1144278606965172,0.004424778761061947,1119.0,76.0,651.0,279.0,372.0,-279.0,1209.0,176495,7.9625851659828735
8,230 to 260,313.6134601194565,531.5167195127747,496.0,84.03361344537815,2.036734693877551,0.003952569169960474,1260.0,86.0,704.0,306.0,398.0,-291.0,1301.0,147283,6.644683594444349
9,260 to 290,457.5057968390611,573.841359607722,534.0,293.1654676258993,1.9494584837545126,0.0035335689045936395,1360.0,97.0,751.0,329.0,422.0,-304.0,1384.0,119711,5.400770745941673
10,290 to 320,360.4386672385798,618.8282413849554,573.0,43.333333333333336,1.8881789137380192,0.003246753246753247,1480.0,100.0,820.0,350.0,470.0,-355.0,1525.0,97736,4.409366972336339
11,320 to 350,382.5314732887626,659.1203401499312,608.0,18.03030303030303,1.8189919610746772,0.0029069767441860465,1580.0,105.0,878.0,368.0,510.0,-397.0,1643.0,78436,3.538646024414474
12,350 to 380,414.4478076155663,693.0039776075428,630.0,24.72826086956522,1.7348896537149412,0.002688172043010753,1731.2599999999948,104.0,926.0,376.0,550.0,-449.0,1751.0,67880,3.062411292483738
13,380 to 410,445.92337943753074,727.4965314542335,650.0,38.16793893129771,1.6581304758407218,0.0025,1830.0,108.0,970.0,390.0,580.0,-480.0,1840.0,54778,2.4713135795473513
14,410 to 440,476.3346914408623,772.6180009878317,696.0,23.767772511848342,1.6401894429786466,0.0023148148148148147,1946.1800000000003,107.0,1035.0,406.0,629.0,-537.5,1978.5,44542,2.0095156716236104
15,440 to 470,714.9836129362642,802.9319806194287,713.0,219.29605263157896,1.5739514348785872,0.0022675736961451248,2000.0,108.0,1084.0,412.0,672.0,-596.0,2092.0,37357,1.6853638575915586
16,470 to 500,530.5838206641233,830.3702758077226,730.0,14.197530864197532,1.506276150627615,0.0020325203252032522,2100.0,107.0,1125.0,417.0,708.0,-645.0,2187.0,31725,1.4312757550684532
17,500 to 530,577.5055247889921,868.7624478825678,750.0,33.00970873786408,1.4705882352941178,0.00196078431372549,2295.0,112.39999999999998,1197.0,425.0,772.0,-733.0,2355.0,29021,1.3092845922093483
18,530 to 560,592.8450019077585,897.6363675305205,775.0,16.544117647058822,1.4233576642335766,0.017921146953405017,2405.0,109.88,1240.0,428.0,812.0,-790.0,2458.0,23345,1.053211426385281
19,560 to 590,607.2786923003131,922.2292051756008,800.0,26.548672566371682,1.4035087719298245,0.005208333333333333,2400.0,112.0,1276.0,451.5,824.5,-785.25,2512.75,18935,0.854253945538886
20,590 to 620,643.2674113256452,950.2639212365023,818.5,22.815533980582526,1.355,0.0033222591362126247,2550.0,110.0,1313.0,450.0,863.0,-844.5,2607.5,18892,0.8523139973129461
21,620 to 650,657.4292853502253,974.6472482845539,846.0,10.9204368174727,1.3343925252515056,0.001564945226917058,2647.519999999997,110.0,1350.75,452.5,898.25,-894.875,2698.125,14282,0.6443335014621796
22,650 to 680,701.7929264381416,1013.2227358081757,878.5,14.814814814814815,1.3228451178451177,0.0015060240963855422,2750.0,114.0,1400.0,475.0,925.0,-912.5,2787.5,13846,0.6246633287526494
23,680 to 710,699.7367568840323,1024.7968117408907,896.0,9.285714285714286,1.2826423547627284,0.011379800853485065,2817.7999999999993,120.0,1406.0,482.0,924.0,-904.0,2792.0,11856,0.5348843294591514
24,710 to 740,757.6635055991263,1065.7392672094745,910.0,14.89655172413793,1.2602739726027397,0.004098360655737705,3000.0,104.0,1480.0,496.75,983.25,-978.125,2954.875,10808,0.48760373083624403
