,name,std,mean,median,max_mult,med_mult,min_mult,q98,q02,q75,q25,iqr,min_q,max_q,count of loans,pct of total loans
0,0 to 20,74.06930908720045,99.9102698388947,85.0,703.0,6.764705882352941,0.05263157894736842,294.0,15.0,131.0,50.0,81.0,-71.5,252.5,20049,3.748688828350102
1,20 to 50,107.56962107545822,138.4273841538399,129.0,366.3488372093023,3.7333333333333334,0.02040816326530612,329.0,18.0,190.0,73.0,117.0,-102.5,365.5,73999,13.836062876406762
2,50 to 80,106.31645661408767,197.2603993743583,190.0,34.875,2.948051948051948,0.012658227848101266,421.0,32.0,271.0,111.0,160.0,-129.0,511.0,104213,19.48536629601722
3,80 to 110,127.5204798763176,245.938946965136,231.0,17.963414634146343,2.4634146341463414,0.009259259259259259,530.0,50.0,334.0,144.0,190.0,-141.0,619.0,109626,20.497469275111392
4,110 to 140,148.2258487936278,285.8504256089831,263.5,11.666666666666666,2.1333333333333333,0.007692307692307693,626.0,62.0,383.0,168.0,215.0,-154.5,705.5,88344,16.518238607998477
5,140 to 170,164.08744856073474,320.0571418700662,294.0,23.0354609929078,1.9259259259259258,0.006493506493506494,696.0,73.0,428.0,190.0,238.0,-167.0,785.0,57891,10.824247840890605
6,170 to 200,181.00914350802745,348.3251213481088,319.0,7.661290322580645,1.7473118279569892,0.005494505494505495,732.0,78.0,481.0,202.0,279.0,-216.5,899.5,32757,6.124784276036924
7,200 to 230,195.87444484855146,365.5887866108787,331.0,7.0,1.5613207547169812,0.019230769230769232,741.0,80.0,517.0,203.0,314.0,-268.0,988.0,17925,3.351551062306129
8,230 to 260,210.62498103787607,367.3253110340608,325.0,17.90295358649789,1.3372321021431828,0.004273504273504274,743.0,76.0,533.0,193.0,340.0,-317.0,1043.0,9806,1.833490081839548
9,260 to 290,210.41096171288297,360.17471718441374,301.0,5.324626865671642,1.1018181818181818,0.003787878787878788,743.0,75.0,529.0,185.0,344.0,-331.0,1045.0,5569,1.0412712895945793
10,290 to 320,210.9167145375457,347.5851602023609,286.5,4.74914089347079,0.9423728813559322,0.003289473684210526,743.0,73.14,514.0,172.0,342.0,-341.0,1027.0,3558,0.6652618510284634
11,320 to 350,219.82321115237252,338.4771596562641,268.0,4.434782608695652,0.8041543026706232,0.071875,743.0,72.0,486.0,166.0,320.0,-314.0,966.0,2211,0.41340470843842964
12,350 to 380,205.13252230818577,320.4157955865273,257.0,4.002808988764045,0.7095037453183521,0.05555555555555555,743.0,72.42,432.0,160.0,272.0,-248.0,840.0,1722,0.3219732736006222
13,380 to 410,198.01197396755424,304.7731707317073,240.5,3.015748031496063,0.6116591237954496,0.1134020618556701,743.0,77.0,407.0,152.0,255.0,-230.5,789.5,1230,0.22998090971473018
14,410 to 440,192.41497589093333,297.21238938053096,240.5,2.6597222222222223,0.5636915198575047,0.047619047619047616,742.0,65.0,406.25,146.75,259.5,-242.5,795.5,904,0.1690266198228586
15,440 to 470,182.79266154823728,274.4604715672677,227.0,3.12472647702407,0.5021645021645021,0.02197802197802198,735.4000000000001,71.8,334.0,147.0,187.0,-133.5,614.5,721,0.13480994788969142
16,470 to 500,181.21623218781417,259.0103986135182,202.0,2.579476861167002,0.42083333333333334,0.0020833333333333333,740.44,50.56,331.0,128.0,203.0,-176.5,635.5,577,0.10788535358162547
17,500 to 530,184.63203270638382,267.1904761904762,212.5,2.156862745098039,0.4139306930693069,0.0777988614800759,743.0,69.0,328.75,137.75,191.0,-148.75,615.25,462,0.086383073405045
18,530 to 560,186.02473447312875,276.75471698113205,224.0,2.151685393258427,0.4100185528756957,0.08592321755027423,743.0,63.0,333.5,147.5,186.0,-131.5,612.5,371,0.0693682256131422
19,560 to 590,185.48673416825596,264.14869888475835,207.0,1.817717206132879,0.36298932384341637,0.08333333333333333,737.0,60.36,324.0,135.0,189.0,-148.5,607.5,269,0.050296637978262136
20,590 to 620,189.30089250550316,243.9044585987261,182.0,2.1943048576214403,0.3026930952110113,0.0033333333333333335,737.0,50.0,276.75,122.0,154.75,-110.125,508.875,314,0.058710573699532746
21,620 to 650,181.9853850639782,254.555,188.5,1.1793650793650794,0.29984253891374746,0.05405405405405406,728.04,59.0,305.75,132.75,173.0,-126.75,565.25,200,0.037395269872313855
22,650 to 680,167.91495049526154,240.08823529411765,193.0,1.1382488479262673,0.29133090662903516,0.05303030303030303,737.0,58.059999999999995,289.25,131.0,158.25,-106.375,526.625,204,0.03814317526976013
23,680 to 710,175.78759403558215,259.54609929078015,215.0,1.3505007153075823,0.30835734870317005,0.05689900426742532,710.0,68.0,322.0,138.0,184.0,-138.0,598.0,141,0.026363665259981267
24,710 to 740,178.79236878936362,230.49664429530202,182.0,1.3282122905027933,0.25383542538354253,0.001388888888888889,749.7599999999986,42.96,276.0,111.0,165.0,-136.5,523.5,149,0.027859476054873822
