,name,std,mean,median,max_mult,med_mult,min_mult,q98,q02,q75,q25,iqr,min_q,max_q,count of loans,pct of total loans
0,0 to 20,40.14970548787491,70.5766892279454,63.0,488.0,4.4,0.05263157894736842,173.6800000000003,17.0,90.0,42.0,48.0,-30.0,162.0,8717,6.891453869871136
1,20 to 50,56.882453321797264,112.15273741718005,106.0,30.666666666666668,3.0816326530612246,0.02040816326530612,235.0,25.0,150.0,67.0,83.0,-57.5,274.5,51618,40.807969009407856
2,50 to 80,71.73511883635767,164.54935532802426,160.0,16.387096774193548,2.535211267605634,0.012658227848101266,320.0,46.0,214.0,109.0,105.0,-48.5,371.5,52740,41.69499565183018
3,80 to 110,88.66558377109597,224.0374531835206,214.0,9.5,2.4285714285714284,0.00980392156862745,438.0,73.0,275.0,162.0,113.0,-7.5,444.5,12015,9.498774606688276
4,110 to 140,135.27556327389374,262.51335656213706,244.0,8.090909090909092,2.0530973451327434,0.007462686567164179,569.9999999999998,50.2,349.0,160.0,189.0,-123.5,632.5,861,0.6806862202545656
5,140 to 170,140.7696469295397,235.14754098360655,180.0,4.7534246575342465,1.1870967741935483,0.18292682926829268,571.4399999999996,57.4,320.5,137.5,183.0,-137.0,595.0,183,0.1446754684164756
6,170 to 200,189.087298797004,264.3953488372093,198.5,4.285714285714286,1.1004993757802746,0.16666666666666666,689.2999999999997,40.5,396.25,120.5,275.75,-293.125,809.875,86,0.06798956439244208
7,200 to 230,178.54695651128446,244.35714285714286,212.0,3.411214953271028,1.0,0.17543859649122806,696.3800000000001,42.46,348.25,92.5,255.75,-291.125,731.875,42,0.03320420586607637
8,230 to 260,216.7411607637801,265.6923076923077,150.0,2.6422764227642275,0.625,0.21686746987951808,639.9200000000001,60.239999999999995,393.0,101.0,292.0,-337.0,831.0,13,0.010277492291880781
9,260 to 290,163.34378003520817,232.23809523809524,186.0,2.8,0.6992481203007519,0.2787456445993031,664.8000000000003,76.80000000000001,271.0,130.0,141.0,-81.5,482.5,21,0.016602102933038185
10,290 to 320,97.04498527315394,142.5625,115.0,1.1423728813559322,0.3797180104067588,0.11217948717948718,331.59999999999997,35.0,155.5,80.75,74.75,-31.375,267.625,16,0.012649221282314807
11,320 to 350,252.44552453379492,200.2,97.0,2.9585798816568047,0.29393939393939394,0.11627906976744186,836.7599999999993,43.08,200.0,70.0,130.0,-125.0,395.0,15,0.011858644952170132
12,350 to 380,219.31940178652687,200.0,117.0,2.0554016620498614,0.32231404958677684,0.07282913165266107,703.0799999999998,31.32,194.5,65.0,129.5,-129.25,388.75,15,0.011858644952170132
13,380 to 410,273.0877373312499,225.6315789473684,122.0,2.490049751243781,0.3128205128205128,0.15762273901808785,931.1600000000001,62.08,176.0,83.5,92.5,-55.25,314.75,19,0.015020950272748832
14,410 to 440,105.33531891898703,141.0,109.0,1.0145985401459854,0.25226288217717396,0.046189376443418015,415.3,33.6,147.5,90.5,57.0,5.0,233.0,18,0.014230373942604159
15,440 to 470,845.5169358971403,515.0,109.0,5.420454545454546,0.24077872855859023,0.11804008908685969,2279.7000000000003,57.32,260.5,85.25,175.25,-177.625,523.375,10,0.007905763301446754
16,470 to 500,51.352423784777955,116.75,133.5,0.3446808510638298,0.27727457830550617,0.06134969325153374,161.86,32.94,155.0,95.25,59.75,5.625,244.625,8,0.006324610641157404
17,500 to 530,148.78443979062303,186.14285714285714,158.0,0.9734848484848485,0.29924242424242425,0.156,473.19999999999993,80.64,167.5,109.0,58.5,21.25,255.25,7,0.005534034311012728
18,530 to 560,558.0322144652156,311.42857142857144,112.0,2.8584392014519056,0.20512820512820512,0.10752688172043011,1403.9999999999998,60.72,133.5,83.0,50.5,7.25,209.25,7,0.005534034311012728
19,560 to 590,157.61785713836136,168.5,110.0,0.9078498293515358,0.19053744997141223,0.04599659284497445,502.3,34.74,155.0,82.25,72.75,-26.875,264.125,10,0.007905763301446754
20,590 to 620,59.82673395095286,160.28571428571428,153.0,0.43833333333333335,0.2512315270935961,0.11666666666666667,255.44,77.8,181.5,136.5,45.0,69.0,249.0,7,0.005534034311012728
21,620 to 650,24.551985663078252,79.0,78.5,0.18548387096774194,0.12351614434947768,0.06570512820512821,112.70000000000002,43.8,89.0,71.0,18.0,44.0,116.0,6,0.004743457980868053
22,650 to 680,82.52615746941491,185.16666666666666,160.0,0.44925373134328356,0.24137177806902577,0.11259259259259259,297.3,83.4,238.0,152.5,85.5,24.25,366.25,6,0.004743457980868053
23,680 to 710,180.0128302305673,199.42857142857142,140.0,0.8571428571428571,0.2055800293685756,0.08608321377331421,548.6399999999999,69.0,161.0,137.0,24.0,101.0,197.0,7,0.005534034311012728
24,710 to 740,32.624121954978854,129.66666666666666,148.0,0.20555555555555555,0.20523415977961432,0.1270718232044199,148.96,94.24,148.5,120.0,28.5,77.25,191.25,3,0.0023717289904340265
