,name,std,mean,median,max_mult,med_mult,min_mult,q98,q02,q75,q25,iqr,min_q,max_q,count of loans,pct of total loans
0,0 to 20,77.63675384937561,106.91774067017819,85.0,459.5,6.0,0.05555555555555555,325.0,22.0,137.0,55.0,82.0,-68.0,260.0,8923,2.2031337188344104
1,20 to 50,81.00869647317128,141.6785591822739,131.0,136.47916666666666,3.744186046511628,0.02040816326530612,322.0,31.0,188.0,83.0,105.0,-74.5,345.5,61243,15.121205686717001
2,50 to 80,340.06412554916477,210.8415387067637,202.0,1492.5223880597016,3.1392405063291138,0.01282051282051282,419.0,51.0,277.0,131.0,146.0,-88.0,496.0,94105,23.23499928397537
3,80 to 110,114.13647726494747,263.5597410304829,251.0,10.01063829787234,2.676767676767677,0.009345794392523364,536.0,78.0,338.0,176.0,162.0,-67.0,581.0,92675,22.881925069256866
4,110 to 140,128.60233474760324,312.3546695583713,296.0,8.563636363636364,2.408695652173913,0.008,626.0,104.0,389.0,217.0,172.0,-41.0,647.0,67319,16.621400741702754
5,140 to 170,142.61911664791486,357.9165659008464,341.0,7.604166666666667,2.235481453727988,0.006024096385542169,706.0,128.0,432.0,255.0,177.0,-10.5,697.5,38042,9.392761731693225
6,170 to 200,155.84478792330182,399.0623192083228,382.0,8.287292817679559,2.086734693877551,0.041237113402061855,769.9199999999983,143.0,490.0,288.0,202.0,-15.0,793.0,19705,4.865263916802876
7,200 to 230,175.4521506370512,445.6343290843631,417.0,7.183962264150943,1.97,0.1036036036036036,867.4799999999996,150.0,551.0,323.0,228.0,-19.0,893.0,10277,2.5374431501133294
8,230 to 260,191.41027106045337,482.0533781261665,455.0,6.134920634920635,1.88017094017094,0.2125,917.8599999999997,160.0,605.0,350.0,255.0,-32.5,987.5,5358,1.3229172324907288
9,260 to 290,209.16339885018516,512.6747076023391,483.5,5.958646616541353,1.7808538075200218,0.14855072463768115,1024.2999999999997,158.7,635.0,370.75,264.25,-25.625,1031.375,2736,0.675532203825053
10,290 to 320,228.30509534096984,537.7021136063408,506.5,5.046511627906977,1.6786382232612507,0.17,1068.74,150.0,684.75,377.0,307.75,-84.625,1146.375,1514,0.3738142385201499
11,320 to 350,243.96634165900693,548.703744493392,526.5,4.652567975830816,1.5746904024767803,0.0030959752321981426,1143.02,159.14,690.0,371.75,318.25,-105.625,1167.375,908,0.22418978109398688
12,350 to 380,253.86234448165487,546.2397260273973,531.0,4.2492917847025495,1.43987558987559,0.06756756756756757,1101.8200000000006,100.0,695.0,383.75,311.25,-83.125,1161.875,584,0.14419254643049376
13,380 to 410,267.25212315521935,586.9897698209719,564.0,3.9473684210526314,1.4213197969543148,0.13144329896907217,1160.1999999999996,145.0,761.5,400.0,361.5,-142.25,1303.75,391,0.09653987269575867
14,410 to 440,292.81267317924676,606.883064516129,594.5,3.5193236714975846,1.3853767013181866,0.13286713286713286,1257.72,101.88,812.0,392.5,419.5,-236.75,1441.25,248,0.06123245122390831
15,440 to 470,290.2974007486807,557.7888888888889,533.5,3.8322295805739515,1.1929905963870329,0.16025641025641027,1216.8799999999997,96.22,723.0,360.5,362.5,-183.25,1266.75,180,0.04444290814638506
16,470 to 500,307.4559885638085,550.3049645390071,505.0,3.0473251028806585,1.0520833333333333,0.10602910602910603,1247.999999999997,87.8,753.0,333.0,420.0,-297.0,1383.0,141,0.034813611381334965
17,500 to 530,349.12089381867366,595.6896551724138,534.0,3.4329501915708813,1.0451149425287356,0.13293650793650794,1408.9,87.10000000000001,783.5,372.5,411.0,-244.0,1400.0,116,0.028640985249892593
18,530 to 560,321.2803457115616,554.56,476.0,2.7862453531598512,0.8888888888888888,0.11573236889692586,1390.9999999999993,86.92,751.0,350.5,400.5,-250.25,1351.75,75,0.01851787839432711
19,560 to 590,391.1869081815194,470.8888888888889,396.0,4.234295415959253,0.6882453151618398,0.09490333919156414,1252.8,84.12,590.5,220.5,370.0,-334.5,1145.5,63,0.015555017851234771
20,590 to 620,282.90651128966596,440.93548387096774,413.5,2.29,0.6885884636716584,0.001658374792703151,1064.2000000000003,51.32,595.0,219.25,375.75,-344.375,1158.625,62,0.015308112805977077
21,620 to 650,278.0027518389522,435.56756756756755,390.0,1.557632398753894,0.6046511627906976,0.14444444444444443,968.32,97.48,700.0,215.0,485.0,-512.5,1427.5,37,0.009135486674534708
22,650 to 680,322.9867019172533,414.525,274.0,1.8074626865671641,0.41394609991235753,0.015151515151515152,1133.0,45.88,544.0,184.5,359.5,-354.75,1083.25,40,0.00987620181030779
23,680 to 710,355.5014024254149,520.8333333333334,417.0,2.1398002853067046,0.6017366136034732,0.08595988538681948,1404.8799999999997,94.8,692.5,251.25,441.25,-410.625,1354.375,30,0.007407151357730844
24,710 to 740,356.5642654341786,471.65384615384613,415.0,2.0181564245810057,0.5747889809699201,0.13760217983651227,1272.5,106.5,722.25,171.75,550.5,-654.0,1548.0,26,0.006419531176700065
