,name,std,mean,median,max_mult,med_mult,min_mult,q98,q02,q75,q25,iqr,min_q,max_q,count of loans,pct of total loans
0,0 to 20,192.73289257931884,167.34261729680483,127.0,6000.0,12.090909090909092,0.05263157894736842,620.0,8.0,212.0,65.0,147.0,-155.5,432.5,46101,1.9987998789473276
1,20 to 50,564.708254155282,205.61611202036735,177.0,2375.0,5.121951219512195,0.02040816326530612,600.0,9.0,273.0,89.0,184.0,-187.0,549.0,115479,5.006820052080398
2,50 to 80,462.06615694309534,256.300640863315,238.0,1718.5185185185185,3.6973684210526314,0.012658227848101266,635.0,14.0,356.0,122.0,234.0,-229.0,707.0,154011,6.677450991443935
3,80 to 110,412.5626002515671,311.1625304657578,297.0,1060.0,3.141304347826087,0.009174311926605505,700.0,24.0,440.0,155.0,285.0,-272.5,867.5,186685,8.094096774501242
4,110 to 140,292.42486132370703,359.119923772585,345.0,646.3636363636364,2.7709923664122136,0.007194244604316547,785.0,35.0,507.0,187.0,320.0,-293.0,987.0,208324,9.032298344544001
5,140 to 170,234.14498904779953,400.6884371194586,381.0,59.602649006622514,2.4689655172413794,0.005917159763313609,900.0,50.0,557.0,217.0,340.0,-293.0,1067.0,215154,9.328426480012002
6,170 to 200,253.30989690131656,440.31624961877515,412.0,65.93406593406593,2.2429378531073447,0.005025125628140704,987.0,63.0,601.0,247.0,354.0,-284.0,1132.0,206571,8.956293568339696
7,200 to 230,315.7709758140347,482.85934726719233,451.0,315.49295774647885,2.10762331838565,0.004424778761061947,1105.0,76.0,648.0,276.0,372.0,-282.0,1206.0,185926,8.061188830896526
8,230 to 260,311.6845519809077,526.004346389776,492.0,84.03361344537815,2.0166666666666666,0.003952569169960474,1250.0,85.0,700.0,301.0,399.0,-297.5,1298.5,154381,6.693493071989052
9,260 to 290,451.9654283056949,566.9857188652028,527.0,293.1654676258993,1.9263157894736842,0.0035335689045936395,1357.0,95.0,744.0,323.0,421.0,-308.5,1375.5,124780,5.410083271405122
10,290 to 320,359.48352027893964,611.2977404202719,566.0,43.333333333333336,1.8639240506329113,0.003246753246753247,1474.520000000004,98.0,808.0,342.0,466.0,-357.0,1507.0,101125,4.38447404087869
11,320 to 350,382.0931994798703,651.0338482086544,600.0,18.03030303030303,1.7988165680473374,0.0029069767441860465,1575.0,102.0,868.0,360.0,508.0,-402.0,1630.0,80861,3.5058883106995475
12,350 to 380,414.2003122799397,684.664609378364,624.0,24.72826086956522,1.713091922005571,0.002688172043010753,1724.0,100.0,919.0,368.0,551.0,-458.5,1745.5,69671,3.0207237666458266
13,380 to 410,445.78112546269585,718.7439763330482,645.0,38.16793893129771,1.63727959697733,0.0025,1820.0,104.0,960.0,380.0,580.0,-490.0,1830.0,56112,2.4328465501289003
14,410 to 440,476.5280816312516,763.1131442111499,685.0,23.767772511848342,1.6173708920187793,0.0023148148148148147,1934.4400000000023,103.0,1015.5,400.0,615.5,-523.25,1938.75,45579,1.9761675382863764
15,440 to 470,711.6515957467527,792.7066128694194,700.0,219.29605263157896,1.5532393347794649,0.0022675736961451248,2000.0,103.0,1071.0,400.0,671.0,-606.5,2077.5,38168,1.654849000665096
16,470 to 500,531.3992963427355,820.015941670786,720.0,14.197530864197532,1.4869739478957915,0.0020325203252032522,2100.0,101.0,1120.0,410.0,710.0,-655.0,2185.0,32368,1.403378548876751
17,500 to 530,577.8846598900664,858.9270438548998,745.0,33.00970873786408,1.4531243440461332,0.00196078431372549,2275.9799999999996,108.0,1184.0,417.0,767.0,-733.5,2334.5,29552,1.2812853088360645
18,530 to 560,593.3751956527464,887.1965006729475,760.0,16.544117647058822,1.4005488005699729,0.017921146953405017,2400.0,105.0,1228.0,417.0,811.0,-799.5,2444.5,23776,1.03085542443443
19,560 to 590,608.3270259386444,911.739979231568,796.0,26.548672566371682,1.3808707016254185,0.005208333333333333,2400.0,105.0,1265.0,431.0,834.0,-820.0,2516.0,19260,0.8350553278350908
20,590 to 620,644.4123194083687,938.0474507561977,800.0,22.815533980582526,1.3305785123966942,0.001658374792703151,2550.0,101.0,1300.0,427.0,873.0,-882.5,2609.5,19241,0.8342315453206118
21,620 to 650,658.5660752730676,963.5189498346197,828.0,10.9204368174727,1.3097831984201047,0.001564945226917058,2639.1199999999953,105.0,1346.0,434.0,912.0,-934.0,2714.0,14512,0.629196413164218
22,650 to 680,703.0548156817836,1000.2472675656494,860.0,14.814814814814815,1.2983133380381089,0.0015060240963855422,2749.2199999999993,110.0,1400.0,448.0,952.0,-980.0,2828.0,14090,0.6108997699478936
23,680 to 710,700.6554801210689,1014.4710626974887,880.0,9.285714285714286,1.2634630053394356,0.011379800853485065,2813.5,115.0,1400.0,466.0,934.0,-935.0,2801.0,12026,0.5214109746907997
24,710 to 740,758.8850824525244,1053.1154932143183,900.0,14.89655172413793,1.2413793103448276,0.001388888888888889,3000.0,100.0,1470.0,473.0,997.0,-1022.5,2965.5,10979,0.4760162224455588
