agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q055,q056,q061,q063,q065,q070,q071,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
1,10000000676,97.4358974358974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000001950,97.3684210526316,,,,,-72.8205128205128,1.88679245283019,22.6538418687563,,,,,,,,,18.0904522613065,,,,,,,,,,,,,
1,10000002780,96.0,,,,,-66.4739884393064,,,,30.1724137931034,,,,,,,3.09734513274336,,,,,,,,,,,,,
1,10000003286,96.5217391304348,,,,,-75.3401360544218,,,,,,,,,,,25.3623188405797,,,,,,,,,,,,,
1,10000004620,96.0,,,,,,,,,62.9824561403509,,,,,,,6.07734806629834,,,,,,,,,,,,,
1,10000004945,100.0,,,,,-82.6815642458101,,,,73.3870967741936,,,,,,,2.54237288135593,,,,,,,,,,,,,
1,10000005528,100.0,,,,,-77.3387096774194,2.13523131672598,17.7525227784854,,51.9572953736655,,,,,,,19.9275362318841,,,,,,,,,,,,,
1,10000008783,97.6744186046512,,,,,-76.4473684210526,,,,,,,,,,,,,,,,,,,,,,,,
1,10000008899,96.969696969697,,,,,,,,,,,,,,,,23.5294117647059,,,,,,,,,,,,,
1,10000012739,100.0,,,,,,,,,,,,,,,,20.4545454545455,,,,,,,,,,,,,
1,10000014301,95.9183673469388,,,,,-78.2544378698225,,,,63.265306122449,,,,,,,,,,,,,,,,,,,,
1,10000014351,96.969696969697,,,,,,,,,37.5,,,,,,,30.9090909090909,,,,,,,,,,,,,
1,10000014991,99.4791666666667,,,,,-68.3734939759036,,,,,,,,,,,,,,,,,,,,197.0,210.0,93.8095238095238,93.8095238095238,93.8095238095238
1,10000017816,95.8333333333333,,,,,-97.9984301412873,,,,,,,,,,,5.63380281690141,,,,,,,,,,,,,37.2549019607843
1,10000018178,100.0,,,,,-77.0186335403727,,,,,,,,,,,16.9014084507042,,,,,,,,,,,,,
1,10000018427,100.0,,,,,-84.2,,,,,,,,,,,7.59493670886076,,,,,,,,,42.0,79.0,53.1645569620253,53.1645569620253,53.1645569620253
