agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q055,q056,q061,q062,q065,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
1,10000000676,97.8260869565217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000005203,97.8260869565217,,,,,,,,,71.1340206185567,,,,,,,17.7083333333333,,,,,,,,,,,,,,
1,10000006451,97.9966611018364,,,,,103.048780487805,,,,39.6396396396396,,,,,,,,,,,,,,,,,,,,,
1,10000008145,95.8333333333333,,,,,,,,,63.1578947368421,,,,,,,,,,,,,,,,,,,,,
1,10000008731,96.551724137931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000012307,100.0,,,,,,,,,,,,,,,,3.84615384615385,,,,,,,,,,,,,,
1,10000014066,98.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000014991,99.3197278911565,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,209.0,84.2105263157895,84.2105263157895,84.2105263157895
1,10000015359,95.0310559006211,,,,,-23.9852398523985,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000015482,100.0,,,,,,3.48837209302326,43.1518741701563,,,,,,,,,,,,,,,,,,,,,,,
1,10000016941,96.8253968253968,,,,,54.2168674698795,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000022905,96.969696969697,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,57.0,56.140350877193,56.140350877193,56.140350877193
1,10000023681,98.1443298969072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000024356,97.1428571428571,,,,,,,,,77.2357723577236,,,,,,,,,,,,,,,,,,,,,
1,10000024660,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4285714285714
1,10000024685,100.0,,,,,,4.51127819548872,16.7032395911532,,,,,,,,,,,,,,,,,,,,,,,
1,120-0315363,97.5609756097561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120-0617801,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120-1526290,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120-2069793,97.6190476190476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120-2784791,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120-3207725,97.2222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120-4436381,97.6744186046512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120-4648575,95.6521739130435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120-8912169,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126-1227062,96.8253968253968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.027397260274
1,126-1319234,97.4025974025974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126-3574004,97.8260869565217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9855072463768
