agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q023,q031,q047,q048,q053,q055,q056,q061,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
1,10000001493,96.7105263157895,,,,,,,,83.6411609498681,,,,,,,,,,,,,,,,,,,
1,10000004076,95.1612903225807,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000005267,95.2191235059761,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000005275,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000005484,97.0588235294118,,,,,,9.43396226415094,32.349754105193,,,,,,,,,,,,,,,,,,,,39.622641509434
1,10000005815,97.4358974358974,,,,,,3.48837209302326,22.7527890286364,,,,,,,,,,,,,,,,,,,,
1,10000006091,95.5555555555556,,,,,,2.27272727272727,10.5438401775805,,,,,,,,18.6046511627907,,,,,,,,,,,,
1,10000008606,100.0,,,,,,,,40.6779661016949,,,,,,,,,,,,,,,,,,,
1,10000009669,100.0,,,,,,20.0,35.3574953394013,,,,,,,,,,,,,,,,,,,,34.1176470588235
1,10000010406,97.2602739726027,,,,,,,,94.2583732057416,,,,,,,,,,,,,,,,,,,
1,10000012044,100.0,,,,,,5.68181818181818,45.5944055944056,88.6363636363636,,,,,,,,,,,,,,,,,,,
1,10000012308,97.8021978021978,,,,,,,,,,,,,,,,,,,,,,,118.0,228.0,51.7543859649123,51.7543859649123,51.7543859649123
1,10000012739,96.875,,,,,,,,,,,,,,,28.2051282051282,,,,,,,,,,,,
1,10000014991,95.5128205128205,,,,,,5.55555555555556,43.0060271220492,,,,,,,,,,,,,,,,225.0,270.0,83.3333333333333,83.3333333333333,83.3333333333333
1,10000017926,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000022883,98.9690721649485,,,,,,,,86.1607142857143,,,,,,,,,,,,,,,,,,,
1,10000023516,97.0588235294118,,,,,,7.14285714285714,53.694628615355,,,,,,,,,,,,,,,,,,,,
1,10000023521,95.6521739130435,,,,,,10.3896103896104,51.6412089697758,,,,,,,,,,,,,,,,,,,,
1,10000023937,97.8260869565217,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000024356,97.1428571428571,,,,,,,,72.8813559322034,,,,,,,,,,,,,,,,,,,
1,10000700057,99.1349480968858,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000703019,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000703069,95.7264957264957,,,,,-53.4926470588235,,,,,,,,,,,,,,,,,,,,,,
1,10000703218,96.9793322734499,,,,,85.9275053304904,,,,,,,,,,,,,,,,,,,,,,
1,10000705636,97.2222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000705964,95.1219512195122,,,,,,1.92307692307692,11.1264685556323,,,,,,,,,,,,,,,,,,,,25.0
1,10000706903,97.1428571428571,,,,,,,,75.7575757575758,,,,,,,,,,,,,,,,,,,
1,10000708876,98.5657370517928,,,,,,,,,,,,,,,,,,,,,47.2658611554129,,,,,,
2,20000041245,97.0588235294118,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20000231149,97.4358974358974,,,,,,,,75.6756756756757,,,,,,,,,,,,,,,,,,,
2,20000274164,96.4285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3939393939394
2,20000516855,100.0,,,,,,6.97674418604651,37.8340305643302,,,,,,,,,,,,,,,,,,,,41.8604651162791
2,20000671053,97.9166666666667,,,,,,,,35.1351351351351,,,,,,,,,,,,,,,,,,,
2,20000686459,100.0,,,,,,0.769230769230769,12.4528570412012,44.6153846153846,,,,,,,,,,,,,,,,,,,
2,20000730446,95.2380952380952,,,,,,,,57.8947368421053,,,,,,,,,,,,,,,,,,,
2,20000747257,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20000748665,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4081632653061
2,20000749635,96.44128113879,,,,,-31.8798449612403,,,,,,,,,,,,,,,,,,,,,,
2,20000772008,97.7611940298508,,,,,,4.375,19.0041893462174,,,,,,,,,,,,,,,,,,,,
2,20000825940,100.0,,,,,,,,35.4838709677419,,,,,,,,,,,,,,,,,,,
2,20000909541,95.2380952380952,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2424242424242
2,20001397471,96.2962962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
2,20002298995,100.0,,,,,,29.0909090909091,27.6895504555185,,,,,,,,,,,,,,,,,,,,21.8181818181818
2,20002785646,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5714285714286
2,20002963547,96.875,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7777777777778
2,20003120646,95.3731343283582,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20003607062,96.2025316455696,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9354838709677
3,30000000077,96.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000001735,96.2962962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000003256,96.2616822429907,,,,,,3.26797385620915,10.2556705492049,,,,,,,,,,,,,,,,,,,,
3,30000006091,98.5507246376812,,,,,,,,,,,,,,,1.31004366812227,,,,,,,,,,,,
3,30000006101,100.0,,,,,,,,94.7368421052632,,,,,,,7.01754385964912,,,,,,,,,,,,
3,30000008250,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000009320,96.6666666666667,,,,,,,,,,,,,,,2.85714285714286,,,,,,,,,,,,20.7547169811321
