agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q055,q056,q061,q062,q065,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
1,10000000086,95.2380952380952,,,,,,3.57142857142857,10.638649900728,,,,,,,,,,,,,,,,,,,,,,,
1,10000001493,95.8762886597938,,,,,49.3074792243767,,,,91.2801484230056,,,,,,,5.99613152804642,,,,,,,,,,,,,,
1,10000003033,100.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,
1,10000003105,95.4545454545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000003724,97.3684210526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6551724137931
1,10000004166,97.1563981042654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000005203,96.9072164948454,,,,,,,,,78.125,,,,,,,31.4102564102564,,,,,,,,,,,,,,
1,10000007115,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000008606,96.4285714285714,,,,,,,,,,,,,,,,2.32558139534884,,,,,,,,,,,,,,
1,10000008673,96.4856230031949,,,,,,,,,,,,,,,,4.1407867494824,,,,,,,,,,,,,,
1,10000008787,100.0,,,,,,,,,,,,,,,,8.57142857142857,,,,,,,,,,,,,,
1,10000010196,96.078431372549,,,,,,0.505050505050505,10.483549749064,,,,,,,,,3.7037037037037,,,,,,,,,,,,,,
1,10000010660,98.2758620689655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000011700,96.3503649635037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000012467,97.4683544303797,,,,,,,,,75.2688172043011,,,,,5.97826086956522,,19.0217391304348,,,,,,,,,,,,,,
1,10000013202,97.5,,,,,,,,,,,,,,,,1.13636363636364,,,,,,,,,,,,,,
1,10000014532,100.0,,,,,,3.44827586206897,15.2665748573677,,81.0344827586207,,,,,,,3.57142857142857,,,,,,,,,,,,,,
1,10000014566,96.9230769230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000014680,97.5609756097561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000014894,97.6744186046512,,,,,,,,,47.9591836734694,,,,,,,,,,,,,,,,,,,,,26.530612244898
1,10000014991,96.5034965034965,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,190.0,80.0,79.4736842105263,79.4736842105263
1,10000014993,96.7741935483871,,,,,,10.4651162790698,6.22047635622296,,,,,,,,,,,,,,,,,,,,,,,
1,10000016560,98.9937106918239,,,,,515.384615384615,,,,,,,,,,,93.5361216730038,,,,,,,,,,,,,,
1,10000016723,98.0392156862745,,,,,,2.5,25.7455481656297,,,,,,,,,,,,,,,,,,,43.0,80.0,53.75,53.75,53.75
1,10000018303,95.5555555555556,,,,,,,,,33.3333333333333,,,,,,,6.06060606060606,,,,,,,,,,,,,,
1,10000018427,98.5074626865672,,,,,,,,,,,,,,,,1.86915887850467,,,,,,,,,,,,,,40.7407407407407
1,10000021037,96.1538461538462,,,,,,2.32558139534884,12.1470099667774,,,,,,,,,,,,,,,,,,,,,,,
1,10000022233,96.3636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000022236,97.2222222222222,,,,,,7.2463768115942,22.1027180256795,,,,,,,,,,,,,,,,,,,35.0,69.0,50.7246376811594,50.7246376811594,50.7246376811594
1,10000022852,100.0,,,,,,,,,,,,,,,,3.7037037037037,,,,,,,,,,,,,,33.3333333333333
1,10000022864,100.0,,,,,,5.95238095238095,12.2448979591837,,,,,,,,,,,,,,,,,,,,,,,28.5714285714286
1,10000023545,95.8333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5714285714286
1,10000023563,96.2962962962963,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,23.5294117647059
1,10000023675,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8805970149254
1,10000023681,97.8768577494692,,,,,111.740890688259,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000023712,100.0,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,
1,10000023752,95.3488372093023,,,,,,2.4,38.9586312834366,,,,,,,,,,,,,,,,,,,,,,,
1,10000023826,96.0526315789474,,,,,,6.2992125984252,20.0929983009926,,,,,,,,,1.68067226890756,,,,,,,,,,,,,,29.1338582677165
1,10000023870,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5686274509804
1,10000023919,95.5882352941177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8260869565217
1,10000023927,100.0,,,,,,,,,32.967032967033,,,,,,,,,,,,,,,,,,,,,
1,10000023953,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9356725146199
1,10000024264,97.2972972972973,,,,,,8.57142857142857,15.5659925237228,,,,,,,,,,,,,,,,,,,,,,,
1,10000024320,97.0588235294118,,,,,,4.25531914893617,18.3879093198992,,,,,,,,,4.44444444444444,,,,,,,,,,,,,,
1,10000024332,98.8505747126437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
1,10000024454,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6349206349206
1,120-0749218,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120-2070075,96.969696969697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120-4222524,96.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120-4648575,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,131-0412725,100.0,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,
1,131-1712553,98.0519480519481,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,
1,180-0066631,96.7741935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20000083450,100.0,,,,,,5.94059405940594,10.7219979344662,,,,,,,,,1.0989010989011,,,,,,,,,,,,,,
2,20000230535,95.7446808510638,,,,,,2.35294117647059,42.3438614696154,,49.4117647058824,,,,,,,4.93827160493827,,,,,,,,,,,,,,
2,20000344816,95.2380952380952,,,,,,,,,72.3926380368098,,,,,,,,,,,,,,,,,,,,,
2,20000390925,98.3050847457627,,,,,,,,,,,,,,,,3.6144578313253,,,,,,,,,,,,,,
2,20000412135,100.0,,,,,,6.06060606060606,38.7398907859266,,,,,,,,,,,,,,,,,,,,,,,
2,20000465243,100.0,,,,,,,,,64.2201834862385,,,,,,,,,,,,,,,,,,,,,
2,20000481551,96.875,,,,,,,,,72.0430107526882,,,,,,,1.0989010989011,,,,,,,,,,,,,,
2,20000491251,95.2054794520548,,,,,,,,,76.7175572519084,,,,,,,,,,,,,,,,,,,,,28.2442748091603
2,20000539340,95.1612903225807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20000567231,100.0,,,,,,26.6666666666667,45.5808080808081,,,,,,,,,,,,,,,,,,,,,,,38.3333333333333
2,20000658924,95.3488372093023,,,,,,,,,96.1538461538462,,,,,,,21.7821782178218,,,,,,,,,,,,,,
2,20000662350,95.1219512195122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20000701736,96.6666666666667,,,,,,,,,,,,,,,,2.12765957446809,,,,,,,,,,,,,,22.1774193548387
2,20000749635,96.8365553602812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20000821120,98.7730061349693,,,,,,5.71428571428571,25.5368237174733,,,,,,,,,3.30578512396694,,,,,,,,,,,,,,35.9183673469388
2,20000868376,96.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20000910042,97.2826086956522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20000995076,98.159509202454,,,,,,,,,,,,,,,,1.03092783505155,,,,,,,,,,,,,,
2,20001356535,96.4376590330789,,,,,32.3788546255507,,,,56.0732113144759,,,,,,,1.55709342560554,,,,,,,,,,,,,,
2,20001917301,97.2067039106145,,,,,26.161369193154,,,,,,,,,,,,,,,,,,,,,,,,,
2,20002239288,98.5185185185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20002360904,96.6101694915254,,,,,,7.14285714285714,13.9129954120834,,,,,,,,,,,,,,,,,,,,,,,
2,20002453132,98.8348183687457,,,,,45.4077883908891,,,,,,,,,,,,,,,,,,,,,,,,,
2,20002577739,98.3739837398374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20002802945,96.2264150943396,,,,,,26.1904761904762,44.8759748558909,,,,,,,,,,,,,,,,,,,,,,,47.6190476190476
2,20002888592,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20002930594,96.3235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20003120646,96.1038961038961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20003180396,97.037037037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20003357910,100.0,,,,,,7.0,17.5350011475786,,,,,,,,,,,,,,,,,,,,,,,32.0
3,30000000077,100.0,,,,,,,,,34.6938775510204,,,,,,,2.08333333333333,,,,,,,,,,,,,,
3,30000000151,100.0,,,,,,2.05479452054794,14.5654076126586,,75.0,,,,,,,8.07017543859649,,,,,,,,,,,,,,
3,30000000248,97.7011494252874,,,,,,,,,46.7105263157895,,,,,,,,,,,,,,,,,,,,,23.0263157894737
3,30000000402,98.1132075471698,,,,,,7.93650793650794,50.4772004241782,,,,,,,,,5.64516129032258,,,,,,,,,,,,,,
3,30000000877,97.8947368421053,,,,,,,,,79.9295774647887,,,,,,,18.5714285714286,,,,,,,,,,,,,,
3,30000000893,99.3939393939394,,,,,,,,,54.4204322200393,,,,,,,,,,,,,,,,,,,,,
3,30000001071,96.4912280701754,,,,,,3.75,45.8081930771674,,,,,,,,,,,,,,,,,,,49.0,80.0,61.25,61.25,61.25
3,30000001361,96.8085106382979,,,,,,7.53424657534247,34.9756348409531,,,,,,,,,,,,,,,,,,,,,,,
3,30000001439,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0
3,30000001730,95.9183673469388,,,,,,,,,,,,,,,,1.36986301369863,,,,,,,,,,,,,,
3,30000001884,98.1481481481482,,,,,,,,,,,,,,,,4.22535211267606,,,,,,,,,,,,,,
3,30000003326,95.1219512195122,,,,,,8.10810810810811,46.4884056363031,,,,,,,,,,,,,,,,,,,,,,,
3,30000005713,100.0,,,,,,,,,,,,,,,,2.29885057471264,,,,,,,,,,,,,,
3,30000005749,97.5609756097561,,,,,,,,,40.1234567901235,,,,,,,1.28205128205128,,,,,,,,,,,,,,
3,30000005760,97.5,,,,,,,,,,,,,,,,5.76923076923077,,,,,,,,,,,,,,
3,30000005810,96.551724137931,,,,,,7.31707317073171,24.8024126455907,,,,,,,,,,,,,,,,,,,,,,,50.0
3,30000007614,98.5074626865672,,,,,,,,,83.7979094076655,,,,,,,,,,,,,,,,,,,,,
3,30000007748,95.1686417502279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000008023,95.2380952380952,,,,,,,,,55.5133079847909,,,,,,,3.89105058365759,,,,,,,,,,,,,,
3,30000008250,100.0,,,,,,,,,,,,,,,,1.13636363636364,,,,,,,,,,,,,,
3,30000008439,95.8904109589041,,,,,,,,,91.6666666666667,,,,,5.29801324503311,,8.60927152317881,,,,,,,,,,,,,,
3,30000009055,95.1612903225807,,,,,,3.2,22.9272500718873,,,,,,,,,,,,,,,,,,,,,,,24.0
3,30000009170,100.0,,,,,,,,,65.4929577464789,,,,,,,2.85714285714286,,,,,,,,,,,,,,
3,30000009300,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000009517,100.0,,,,,,,,,46.2962962962963,,,,,,,,,,,,,,,,,,,,,
3,30000009631,96.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000010132,95.5555555555556,,,,,,4.85436893203883,26.7725576499856,,48.5436893203884,,,,,,,1.06382978723404,,,,,,,,,,,,,,
3,30000010163,96.2962962962963,,,,,,,,,,,,,,,,1.72413793103448,,,,,,,,,,,,,,
3,30000010203,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000010212,100.0,,,,,,,,,76.1904761904762,,,,,,,4.91803278688525,,,,,,,,,,,,,,20.6349206349206
3,30000010216,100.0,,,,,,,,,,,,,,,,2.32558139534884,,,,,,,,,,,,,,
3,30000010303,100.0,,,,,,,,,81.9875776397515,,,,,,,13.125,,,,,,,,,,,,,,
3,30000010375,96.078431372549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000010439,95.2380952380952,,,,,,,,,39.7435897435897,,,,,,,2.8169014084507,,,,,,,,,,,,,,
3,30000011225,95.7446808510638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000011290,95.9183673469388,,,,,,3.125,42.5675902040269,,,,,,,,,1.11111111111111,,,,,,,,,,,,,,20.8333333333333
3,30000011306,100.0,,,,,,7.40740740740741,22.6464779460171,,,,,,,,,,,,,,,,,,,,,,,
3,30000011652,95.0310559006211,,,,,,,,,68.4848484848485,,,,,,,,,,,,,,,,,,,,,
3,30000011667,100.0,,,,,,,,,46.9879518072289,,,,,,,,,,,,,,,,,,,,,
3,30000011772,95.0980392156863,,,,,,,,,94.9275362318841,,,,,,,,,,,,,,,,,,,,,
3,30000012291,96.1538461538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
