agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q054,q055,q056,q061,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
1,10000002242,100.0,,,,,,,,,96.8253968253968,,,,,,,,,,,,,,,,,,,,22.2222222222222
1,10000006112,95.8904109589041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1186440677966
1,10000006451,98.0456026058632,,,,,-46.0960960960961,,,,40.6685236768802,,,,,,,,,,,,,,,,,,,,
1,10000006487,96.2962962962963,,,,,,,,,45.4545454545455,,,,,,,,,,,,,,,,,,,,
1,10000012523,95.4545454545455,,,,,,4.0,43.6450167973124,,,,,,,,,,1.38888888888889,,,,,,,,,,,,22.6666666666667
1,10000013431,95.2380952380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6229508196721
1,10000014066,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000014607,95.7446808510638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000014680,96.2264150943396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000014991,100.0,,,,,,2.38095238095238,10.8788774002954,,,,,,,,,,,,,,,,,,195.0,252.0,77.3809523809524,77.3809523809524,77.3809523809524
1,10000015482,97.8723404255319,,,,,,5.20833333333333,49.7531914893617,,,,,,,,,,,,,,,,,,,,,,
1,10000018303,96.551724137931,,,,,,,,,42.5,,,,,,,,,,,,,,,,,,,,
1,10000022883,96.3855421686747,,,,,,,,,86.5079365079365,,,,,,,,,,,,,,,,,,,,
1,10000023681,98.1069042316258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000024114,97.5609756097561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000024136,97.7611940298508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000024356,95.7446808510638,,,,,,,,,74.7474747474748,,,,,,,,1.04166666666667,,,,,,,,,,,,
1,10000700244,96.6666666666667,,,,,,4.10958904109589,15.153691467969,,,,,,,,,,,,,,,,,,,,,,
1,10000701427,96.5116279069768,,,,,,,,,63.6363636363636,,,,,,,,,,,,,,,,,,,,
1,10000704307,95.2380952380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000704504,98.3606557377049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000705224,96.551724137931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000706191,97.1428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000706351,97.7777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000706432,95.3465982028241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,199-0004299,96.551724137931,,,,,,3.63636363636364,48.7638920390111,,52.7272727272727,,,,,,,,,,,,,,,,,,,,
