agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q055,q056,q061,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
1,10000004076,98.1481481481482,,,,,,,,,,,,,,,,1.06382978723404,,,,,,,,,,,,
1,10000004934,95.3488372093023,,,,,,,,,59.2405063291139,,,,,,,1.05820105820106,,,,,,,,,,,,
1,10000004975,96.0,,,,,44.9574726609964,,,,51.9698239731769,,,,,,,,,,,,,,,,,,,
1,10000005267,96.7611336032389,,,,,49.4252873563218,,,,,,,,,,,,,,,,,,,,,,,
1,10000005528,95.0819672131148,,,,,,,,,53.7313432835821,,,,,,,,,,,,,,,,,,,
1,10000006112,95.4545454545455,,,,,,1.21951219512195,25.3082771933972,,,,,,,,,1.96078431372549,,,,,,,,,,,,25.609756097561
1,10000006293,97.1014492753623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000007898,96.551724137931,,,,,,,,,50.8474576271186,,,,,,,,,,,,,,,,,,,
1,10000008606,100.0,,,,,,,,,33.3333333333333,,,,,,,1.23456790123457,,,,,,,,,,,,
1,10000008899,96.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9677419354839
1,10000009050,100.0,,,,,,3.84615384615385,11.0948905109489,,98.0769230769231,,,,,,,,,,,,,,,,,,,
1,10000012308,98.7654320987654,,,,,,,,,,,,,,,,,,,,,,,,111.0,221.0,50.2262443438914,50.2262443438914,50.2262443438914
1,10000012739,97.2972972972973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000014991,98.8235294117647,,,,,,3.38345864661654,16.9596885595881,,,,,,,,,,,,,,,,,216.0,266.0,81.203007518797,81.203007518797,81.203007518797
1,10000018303,95.5555555555556,,,,,,,,,46.4285714285714,,,,,,,1.92307692307692,,,,,,,,,,,,
1,10000022553,97.7272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000022652,95.6140350877193,,,,,54.5098039215686,,,,,,,,,,,,,,,,,,,,,,,
1,10000023681,97.4206349206349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000023937,96.6386554621849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000024114,97.9591836734694,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000024136,97.029702970297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000024356,96.6666666666667,,,,,,,,,78.3783783783784,,,,,,,,,,,,,,,,,,,
1,10000024636,98.9473684210526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000703019,98.4848484848485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000703218,96.113074204947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000706351,98.2142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000706903,100.0,,,,,,,,,81.8181818181818,,,,,,,,,,,,,,,,,,,
2,20000247140,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1538461538462
2,20000253262,97.6190476190476,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4509803921569
2,20000274164,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2121212121212
2,20000348159,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20000398051,96.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1428571428571
2,20000749635,98.3108108108108,,,,,76.7123287671233,1.25968992248062,12.4372126270237,,,,,,,,,,,,,,,,,,,,,
2,20000819855,95.2662721893491,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20000976226,97.5609756097561,,,,,,,,,,,,,,,,,,,,,,,,,,,,
