agency,arid,q006,q007,q008,q009,q010,q011,q015_count,q015_value,q016,q023,q031,q047,q048,q053,q055,q056,q061,q062,q063,q070,q071,q072,q073,q074,q075,q076,q081_numer,q081_denom,q081,q082,q083
1,10000000676,97.8260869565217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000001154,96.4788732394366,,,,,,,,,63.7931034482759,,,,,,,,,,,,,,,,,,,,,
1,10000004975,95.1310861423221,,,,,-36.0128617363344,,,,50.7537688442211,,,,,,,,,,,,,,,,,,,,,
1,10000005275,100.0,,,,,,,,,,,,,,,,1.68067226890756,,,,,,,,,,,,,,
1,10000005842,96.969696969697,,,,,,3.33333333333333,12.3551031947979,,,,,,,,,,,,,,,,,,,,,,,
1,10000006112,95.6896551724138,,,,,,5.29801324503311,39.3090000609347,,,,,,,,,,,,,,,,,,,,,,,21.1920529801325
1,10000008606,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000009669,96.969696969697,,,,,,19.811320754717,62.1158112974212,,,,,,,,,,,,,,,,,,,54.0,106.0,50.9433962264151,,50.0
1,10000010406,96.3414634146341,,,,,,,,,94.0298507462687,,,,,,,,,,,,,,,,,,,,,
1,10000012308,97.0212765957447,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,260.0,60.7692307692308,60.7692307692308,60.7692307692308
1,10000012346,97.9591836734694,,,,,,9.01639344262295,56.6212367778682,,,,,,,,,,,,,,,,,,,65.0,122.0,53.2786885245902,53.2786885245902,53.2786885245902
1,10000012739,97.1428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000016752,98.6301369863014,,,,,,5.49450549450549,72.2498618021006,,,,,,,,,,,,,,,,,,,48.0,91.0,52.7472527472528,52.7472527472528,52.7472527472528
1,10000021060,97.4358974358974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1904761904762
1,10000022883,96.2962962962963,,,,,,,,,87.0466321243523,,,,,,,,,,,,,,,,,,,,,
1,10000023937,98.2758620689655,,,,,,4.55840455840456,22.2099686452589,,,,,,,,,,,,,,,,,,,,,,,21.9373219373219
1,10000024356,97.1428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000700244,95.1219512195122,,,,,,3.48837209302326,11.4091388063991,,,,,,,,,,,,,,,,,,,,,,,
1,10000704504,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000705636,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000706903,97.5,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,
2,20000185859,98.5507246376812,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,189.0,74.0740740740741,74.0740740740741,74.0740740740741
2,20000247140,100.0,,,,,,4.76190476190476,37.1918229824732,,,,,,,,,,,,,,,,,,,53.0,105.0,50.4761904761905,50.4761904761905,50.4761904761905
2,20000274164,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9622641509434
2,20000348159,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20000414102,95.3703703703704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20000622756,96.6666666666667,,,,,,13.7931034482759,25.3982090498455,,,,,,,,,,,,,,,,,,,54.0,87.0,62.0689655172414,62.0689655172414,62.0689655172414
2,20000662350,97.2972972972973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20000749635,95.7957957957958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20000772008,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20000825940,100.0,,,,,,,,,36.9230769230769,,,,,,,,,,,,,,,,,,,,,
2,20001917301,100.0,,,,,,8.33333333333333,22.3341079266718,,,,,,,,,,,,,,,,,,,,,,,35.0
2,20002239288,97.037037037037,,,,,-67.0886075949367,15.3846153846154,41.721150916293,,,,,,,,,,,,,,,,,,,,,,,
2,20002298995,100.0,,,,,,26.5625,35.4581218997662,,,,,,,,,,,,,,,,,,,,,,,28.125
2,20002742153,96.875,,,,,,5.08474576271187,19.1214744781431,,,,,,,,,,,,,,,,,,,,,,,42.3728813559322
2,20002930594,96.7213114754098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20003120646,96.9742813918306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20003419416,98.1818181818182,,,,,,3.52941176470588,14.7000284333239,,,,,,,,,,,,,,,,,,,135.0,170.0,79.4117647058823,79.4117647058823,79.4117647058823
2,20003607062,95.3846153846154,,,,,,,,,32.1428571428571,,,,,,,,,,,,,,,,,,,,,35.7142857142857
3,30000000175,100.0,,,,,,3.75,26.801818588358,,,,,,,,,,,,,,,,,,,,,,,25.0
3,30000000402,96.1538461538462,,,,,,5.17241379310345,20.7124255952381,,,,,,,,,,,,,,,,,,,,,,,43.9655172413793
3,30000001427,96.551724137931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000001701,97.0588235294118,,,,,,,,,58.9285714285714,,,,,,,1.81818181818182,,,,,,,,,,,,,,
3,30000001786,96.7741935483871,,,,,,4.34782608695652,28.6959594769702,,,,,,,,,,,,,,,,,,,,,,,
3,30000002290,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30000003326,100.0,,,,,,9.09090909090909,43.3066666666667,,,,,,,,,,,,,,,,,,,,,,,48.8372093023256
3,30000004945,97.1014492753623,,,,,,4.51807228915663,18.4146645089008,,,,,,,,,,,,,,,,,,,,,,,
