q001,q002,q003,q004,q005,q013,q014,q024,q025,q027,q035,q036,q037,q038,q039,q040,q044,q045,q046,q051,q052,q064,q066,q067,q068,year
90069.0,12208.0,29.0,4.0,5.0,60270.0,6065.0,8066.0,59806.0,1608410.0,6948.0,33754.0,17894.0,1825.0,6447.0,12.0,80706.0,55477.0,,2295.0,40.0,235.0,7583.0,10035.0,41589.0,2004
138855.0,18755.0,73.0,1.0,21.0,56318.0,7111.0,4435.0,61586.0,1709281.0,4604.0,53691.0,29899.0,799.0,4171.0,29.0,235812.0,89518.0,,2100.0,10.0,73.0,6526.0,6726.0,37588.0,2005
163719.0,23902.0,87.0,2.0,21.0,48474.0,8125.0,6424.0,61351.0,1507579.0,3833.0,63146.0,54298.0,764.0,1861.0,55.0,522885.0,142775.0,,2192.0,5.0,19.0,6419.0,3903.0,32936.0,2006
171622.0,26068.0,181.0,8.0,67.0,55656.0,10315.0,3561.0,44169.0,871609.0,5111.0,67089.0,42567.0,903.0,1486.0,11.0,205953.0,55794.0,,82.0,4.0,29.0,2167.0,2960.0,33312.0,2007
348620.0,59296.0,38116.0,28.0,124.0,285072.0,25584.0,21908.0,139080.0,1970176.0,40776.0,227432.0,77812.0,4012.0,4744.0,52.0,353824.0,57972.0,,68.0,8.0,152.0,7160.0,11612.0,143708.0,2008
65847.0,10940.0,17324.0,42.0,13.0,25775.0,5733.0,4083.0,33969.0,1128348.0,18710.0,41419.0,8729.0,639.0,681.0,15.0,44502.0,3283.0,,15.0,,97.0,1628.0,1150.0,23126.0,2009
69829.0,10161.0,21768.0,135.0,41.0,26127.0,4841.0,3897.0,30535.0,818377.0,7385.0,20678.0,6290.0,566.0,740.0,1.0,13185.0,473.0,,102.0,1.0,40.0,514.0,387.0,17514.0,2010
78246.0,11233.0,13493.0,240.0,49.0,33040.0,5164.0,4519.0,42245.0,848168.0,5707.0,16936.0,6096.0,679.0,392.0,77.0,14321.0,635.0,,79.0,3.0,15.0,621.0,238.0,16145.0,2011
91476.0,13110.0,15799.0,404.0,77.0,43767.0,5785.0,8075.0,38657.0,1162593.0,6746.0,21408.0,7015.0,809.0,243.0,16.0,16605.0,824.0,,15.0,,16.0,658.0,109.0,17882.0,2012
98490.0,14533.0,19429.0,526.0,7584.0,47989.0,5643.0,8907.0,37792.0,1052155.0,2815.0,24169.0,6848.0,830.0,244.0,14.0,14703.0,666.0,,39.0,,50.0,597.0,166.0,18083.0,2013
82685.0,12728.0,4623.0,774.0,117.0,42036.0,3679.0,5268.0,43024.0,594226.0,2946.0,25647.0,5844.0,983.0,213.0,,10034.0,209.0,410.0,120.0,1.0,46.0,106.0,241.0,16425.0,2014
