year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q064,arid
2009,5,29.0,1.0,,,,,,,1.0,,6.0,,,,63.0,,,,,,,,,50000009845
2009,3,25.0,,,,,,1.0,,,,,,,1.0,25.0,,,,,,,,,30000000902
2009,4,13.0,,,,,,,19.0,,,,,,,4255.0,,,,,,,,,426-4237382
2009,5,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,50000008428
2009,5,140.0,5.0,,1.0,,,,62.0,1.0,,22.0,,1.0,,73.0,,,,,,,,,50000024692
2009,3,12.0,,,,,,1.0,,,,,,,,10.0,,,,,,3.0,,,30000010007
2009,3,60.0,,,,,,1.0,,1.0,,2.0,,,1.0,58.0,,,,1.0,2.0,,,,30000016375
2009,2,45.0,1.0,,,,,,,35.0,,27.0,,1.0,,120.0,,,,,,,,,20001194951
2009,3,36.0,1.0,,7.0,,,,71.0,,,18.0,,,1.0,267.0,,,,,,,,,30000035139
2009,2,83.0,2.0,,,,,9.0,,4.0,,3.0,,,1.0,33.0,,,,,2.0,2.0,,,20000832470
2009,3,2.0,,,,,,,,,,1.0,,,1.0,12.0,,,,,,,,,330-0046798
2009,7,3.0,,,,,,,,,,,,,,,,,,,,,,,771-0232620
2009,7,1.0,,,,,,,,,,,,,,,,,,,,,,,765-1318080
2009,5,20.0,,,,,,1.0,2.0,,,,,,,11.0,,,,,,,,,50000066595
2009,1,333.0,76.0,5.0,,,,120.0,10.0,37.0,6.0,48.0,28.0,3.0,14.0,1430.0,,,,1.0,26.0,25.0,,,10000023695
2009,7,115.0,,,,,,14.0,,,,3.0,,,1.0,238.0,,,,,,,,,71715809993
2009,3,1956.0,7.0,,,,,,,5.0,1.0,40.0,8.0,,9.0,225.0,,93.0,,,1.0,1.0,,72.0,30000032185
2009,5,62.0,,,,,,,5.0,,,2.0,,,1.0,,,,,,,1.0,,,50000009589
2009,3,1.0,,,,,,1.0,,,,,,,,14.0,,,,,1.0,,,,30000013290
2009,3,9.0,,,,,,2.0,,,,,,,,2.0,,,,,3.0,,,,30000026530
2009,1,44.0,72.0,14.0,104.0,,,432.0,1048.0,448.0,11.0,53.0,7.0,15.0,5.0,21869.0,,,3.0,3.0,48.0,1.0,,,10000001316
2009,5,4.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,50000063932
2009,3,10.0,1.0,,,,,4.0,10.0,6.0,,,44.0,3.0,,134.0,,,,,,,,,30000022407
2009,3,17.0,,1.0,,,,,2.0,,,2.0,,,,48.0,,,,,1.0,,,,337-1429918
2009,1,31.0,,,,,,6.0,2.0,,,5.0,7.0,,,150.0,,,,,3.0,,,,10000023038
2009,3,9.0,,,,,,,1.0,,,,,,1.0,19.0,,,,,2.0,,,,30000014471
2009,1,6.0,,,,,,,,,,,,,,2.0,,,,,,,,,10000016617
2009,1,912.0,1.0,1.0,,,,17.0,3.0,8.0,,50.0,62.0,1.0,1.0,939.0,,,,,1.0,,,,10000000209
2009,3,5.0,,,,,,2.0,,,,1.0,,,,18.0,,,,,,,,,30000008035
2009,5,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,50000062568
2009,4,1.0,2.0,1.0,12.0,,,,,,,,,,1.0,51.0,,,,,,,,,40000008070
2009,3,1.0,545.0,46.0,57.0,1.0,,213.0,177.0,114.0,39.0,122.0,59.0,66.0,34.0,8888.0,,,,1.0,128.0,3.0,,,30000009846
2009,3,10.0,,,,,,,,,,1.0,,,,4.0,,,,,,,,,338-3597676
2009,7,78.0,,,,,,,1.0,,,,,,,,,,,,,,,,737-1400739
2009,1,13.0,,,,,,3.0,,,,,12.0,,,12.0,,,,,,,,,10000005425
