year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,arid
2011,3,1.0,48.0,12.0,2.0,,,401.0,101.0,7.0,,107.0,52.0,1.0,1.0,581.0,,,,,1.0,,,,,30000032158
2011,3,8.0,,,,,,5.0,,1.0,,,,,,13.0,,,,,,,,,,30000013055
2011,3,18.0,,,,,,1.0,2.0,,,2.0,1.0,,2.0,39.0,,,,,1.0,,,,,30000034611
2011,9,1.0,487.0,45.0,43.0,,,281.0,318.0,458.0,29.0,64.0,18.0,78.0,31.0,4580.0,,,,,,,,,,90000817824
2011,7,5.0,,,21.0,,,,74.0,,,1058.0,,,,802.0,,,,,,,,,,795-2960716
2011,5,11.0,,,,,,,,,,2.0,,,,7.0,,,,,,,,,,50000017012
2011,2,11.0,,,,,,1.0,,4.0,,1.0,,,,4.0,,,,,2.0,,,,,20000786555
2011,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,10000717971
2011,1,2.0,,,,,,2.0,,1.0,,,,,1.0,5.0,,,,,,,,,,10000011952
2011,5,80.0,,,,,,,5.0,,,27.0,,,,1.0,,,,,,,,,,588-0500878
2011,9,170.0,2165.0,467.0,132.0,,1.0,,6.0,214.0,,16.0,,234.0,113.0,1181.0,,,,,,,,,,913-3222578
2011,3,3.0,,,,,,,,,,,,,1.0,21.0,,,,,,,,,,30000002476
2011,7,1.0,21.0,5.0,1.0,,,,,,,,,,,6.0,,,,,,,,,,733-0914481
2011,3,2.0,1.0,,,,,2.0,,,,,,,1.0,32.0,,,,,,,,,,30000033458
2011,3,1.0,3.0,1.0,,,,3.0,1.0,4.0,,7.0,,,,60.0,,,,,,,,,,30000010146
2011,5,6.0,,,,,,,,,,,,,,,,,,,,,,,,50000062347
2011,1,11.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,10000001154
2011,2,10.0,,,,,,9.0,,2.0,,1.0,2.0,,,68.0,,,,,,,,,,20000596848
2011,3,50.0,,,,,,2.0,,2.0,,2.0,,,,9.0,,,,,,,,,,30000014816
2011,2,115.0,,,,,,,1.0,,,,,,,,,,,,,,,,,20000408642
2011,3,38.0,1.0,,,,,8.0,1.0,1.0,,1.0,1.0,,1.0,86.0,,,,,,,,,,30000017393
2011,1,10.0,9.0,1.0,4.0,,,,1.0,,,5.0,2.0,,1.0,1362.0,,,,,,,,,,10000706809
2011,2,7.0,2.0,1.0,,,,1.0,1.0,3.0,,1.0,1.0,1.0,3.0,50.0,,,,,1.0,,,,,20000874845
2011,3,12.0,,,,,,,,,,21.0,,,,8.0,,,,,,,,,,338-3602342
2011,1,19.0,,,,,,,,,,,,,,2.0,,,,,,,,,,10000014617
2011,1,93.0,,,,,,5.0,,,,4.0,26.0,,2.0,42.0,,,,,,,,,,10000004284
2011,3,33.0,1.0,1.0,,,,16.0,,,,3.0,19.0,,,16.0,,,,,,,,,,30000029864
2011,3,24.0,,,,,,4.0,,1.0,,2.0,25.0,,,45.0,,,,,,,,,,30000011236
2011,3,3.0,1.0,,,,,5.0,,3.0,,1.0,34.0,,,34.0,,,,,,,,,,30000012969
2011,5,3.0,14.0,1.0,,,,27.0,,,,,9.0,2.0,1.0,69.0,,,,,,,,,,50000023521
2011,3,2.0,,,,,,17.0,,,,,,,,32.0,,,,,,,,,,30000013242
2011,1,1.0,,,,,,,1.0,4.0,,,,,,6.0,,,,,,,,,,10000008709
2011,1,5.0,,,,,,1.0,,1.0,,,5.0,,,17.0,,,,,,,,,,10000015817
2011,1,19.0,,,,,,,,,,1.0,1.0,,,14.0,,,,,,,,,,10000703043
2011,1,3.0,1.0,,,,,15.0,,,,3.0,,1.0,,27.0,,,,,,,,,,10000011443
2011,9,39.0,1302.0,88.0,182.0,,2.0,1.0,20.0,,,178.0,,21.0,6.0,12670.0,,,,,,,,,,90002777650
2011,3,24.0,,,,,,4.0,4.0,2.0,,3.0,1.0,,,35.0,,,,,,,,,,30000005216
2011,7,2.0,5.0,,8.0,,,,,,,3.0,,,,1.0,,,,,,,,,,71177500008
2011,7,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,720-5113139
2011,3,18.0,45.0,2.0,,,,5.0,,,,,3.0,3.0,,101.0,,,,,,,,,,30000023287
2011,7,23.0,4.0,,,,,8.0,6.0,,,4.0,,,,12.0,,,,,,,,,,784-1553724
2011,7,1.0,2.0,,20.0,,,,1.0,,,238.0,,1.0,,550.0,,,,,,,,,,73213309992
2011,3,25.0,,,,,,7.0,,,,,,,,63.0,,,,,,,,,,30000029786
2011,3,13.0,,,,,,7.0,1.0,2.0,,1.0,3.0,,,8.0,,,,,,,,,,30000001047
2011,3,32.0,1.0,,,,,7.0,1.0,1.0,,2.0,,,,47.0,,,,,,,,,,30000034603
2011,7,111.0,,,,2.0,,1.0,280.0,,,,,,9.0,22606.0,,,,,,,,,,73802909995
2011,2,69.0,1.0,,,,,,1.0,,,,,1.0,,26.0,,,,,,,,,,20000861304
2011,5,6.0,,,,,,,,,,,,,,10.0,,,,,,,,,,50000068613
2011,7,1.0,33.0,,,,,,,,,7.0,,4.0,,1.0,,,,,,,,,,71099500003
2011,7,1.0,8.0,,12.0,,,,,,,,,,3.0,405.0,,,,,,,,,,776-0316927
2011,7,9.0,,,,,,6.0,56.0,,,,,,,6668.0,,,1.0,1.0,7.0,,,,,720-0304793
2011,2,4.0,,,,,,1.0,,,,,,,,9.0,,,,,,,,,,20000643340
2011,7,1.0,2.0,,9.0,,,,,,,,,,1.0,31.0,,,,,,,,,,77983500003
2011,7,250.0,1.0,,,,,,,,,12.0,,2.0,1.0,26.0,,1.0,,,,,,,,738-3616059
2011,3,16.0,2.0,,,,,1.0,,1.0,,2.0,,1.0,,113.0,,,,,,,,,,30000001039
2011,1,52.0,16.0,1.0,2.0,,,16.0,,18.0,,3.0,3.0,2.0,3.0,159.0,,,,,,,,,,10000714752
2011,2,10.0,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,20001093317
2011,5,1.0,1.0,,,,,,1.0,,,,,,,10.0,,,,,,,,,,50000005797
2011,2,2.0,1.0,,,,,,,1.0,,1.0,,,,15.0,,,,,,,,,,20000846619
2011,7,28.0,,,,,,,2.0,,,58.0,,,,122.0,,,,,,,,,,787-0682600
2011,9,1.0,666.0,164.0,13.0,,,,2.0,2.0,,1.0,,39.0,,577.0,,,,,,,,,,916-1245395
2011,7,1.0,,,3.0,,,,1.0,,,,,,1.0,9.0,,,,,,,,,,781-0615913
2011,1,11.0,,,,,,,,,,2.0,,,,3.0,,,,,,,,,,10000718109
2011,2,31.0,,,,,,5.0,2.0,,,15.0,,,,52.0,,,,,,,,,,20000601416
2011,1,5.0,4.0,1.0,100.0,,,34.0,,1.0,,6.0,16.0,,,510.0,,,,,,,,,,10000706051
2011,7,6.0,,,,,,,,,,,,,,,,,,,,,,,,72027400009
2011,7,21.0,3.0,,,,,,1.0,,,3.0,,,,171.0,,,,,,,,,,748-1148159
2011,9,38.0,269.0,34.0,,,,134.0,,4.0,1.0,39.0,1.0,5.0,,395.0,,,,,3.0,,,,,90000517900
2011,7,3.0,6.0,,12.0,,,,2.0,,,55.0,,,,357.0,,,,,,,,,,71635900004
2011,3,1.0,,,,,,1.0,,,,2.0,2.0,,,8.0,,,,,,,,,,30000012388
