year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,arid
2007,2,13.0,,,,,,,2.0,,,1.0,,,,1.0,,,64.0,,,,,,,20000786555
2007,2,3.0,,,,,,1.0,8.0,,,1.0,2.0,,,19.0,,,11.0,,4.0,,,,,20002265335
2007,4,25.0,1.0,,,,,20.0,,3.0,,9.0,124.0,,5.0,139.0,,,1197.0,,4.0,,,,,40000004192
2007,7,1.0,12.0,1.0,,,,,18.0,4.0,,4.0,,,,214.0,,,1.0,,32.0,3.0,,,,733-0442970
2007,3,3.0,,,,,,5.0,1.0,1.0,,,,,1.0,42.0,,,227.0,,1.0,,,,,399-0013142
2007,2,35.0,12.0,2.0,,,,,,,,54.0,,1.0,5.0,922.0,,,6325.0,1.0,5.0,,,,,20001194951
2007,7,2.0,183.0,11.0,,,,,2880.0,9.0,,214.0,,23.0,18.0,5253.0,,,48510.0,,,,,,,77499100008
2007,1,1.0,4.0,,,,,,1.0,1.0,,3.0,,,,14.0,,,296.0,,,,,,,10000022233
2007,3,14.0,1.0,,,,,,,,,,1.0,,1.0,13.0,1.0,,33.0,7.0,24.0,,,,,30000001373
2007,4,1.0,6.0,,,,,1.0,,1.0,,2.0,,,1.0,133.0,,,6.0,,20.0,10.0,,,,40000006033
2007,4,172.0,,,,,,,1.0,,,,,,,187.0,,,173.0,,,,,,,452-1982006
2007,5,2.0,,,,,,,6.0,,,,,,,2.0,,,146.0,,,,,,,588-0500878
2007,1,1.0,5.0,3.0,,,,6.0,2.0,2.0,,1.0,16.0,2.0,,49.0,,,85.0,,1.0,,,,,10000017043
2007,7,14.0,64.0,,2.0,,,,308.0,52.0,,17.0,,,1.0,3077.0,,,19183.0,,188.0,152.0,,,,77515900008
2007,2,2.0,,,,,,1.0,1.0,,,,,,1.0,3.0,,,158.0,,,,,,,20000715144
2007,3,6.0,,,,,,,,,,,,,1.0,2.0,,,129.0,,,,,,,30000015046
2007,3,5.0,,,,,,66.0,,,,,,,,,,,34.0,,,,,,,335-1805251
2007,7,1.0,11.0,1.0,,,,2.0,,1.0,,,,,,83.0,,1.0,176.0,,11.0,,,,,71033500006
2007,7,26.0,13.0,,,,3.0,,1.0,4.0,,,,,28.0,303.0,,3.0,993.0,,8.0,,,,2.0,71478900009
2007,7,50.0,576.0,67.0,1.0,,,,1583.0,288.0,,284.0,,19.0,14.0,7042.0,,,50215.0,,159.0,63.0,,,,74216200005
2007,3,3.0,3.0,,,,,1.0,,2.0,1.0,7.0,26.0,,3.0,41.0,18.0,2.0,19.0,,,,,,,30000030005
2007,2,11.0,130.0,12.0,1.0,,,52.0,184.0,53.0,1.0,13.0,10.0,6.0,4.0,3664.0,,,8470.0,,11.0,15.0,,,,20000501105
2007,3,1.0,,,,,,,,,,,,,,11.0,,,16.0,,1.0,,,,,30000057141
2007,7,4.0,,,,,,,,1.0,,,,,,3.0,,,3.0,1.0,4.0,2.0,,,,755-0801343
2007,3,4.0,1.0,,,,,6.0,1.0,1.0,,,4.0,,,69.0,,,5.0,1.0,19.0,4.0,,,,30000034611
2007,7,1.0,,,,,,,2.0,,,,,,,3.0,,,638.0,,,,,,,741-1592297
2007,5,5.0,1.0,,,,,,,,,3.0,,,,2.0,,,23.0,,,,,,,50000007870
2007,5,7.0,,,,,,,,7.0,,,,,1.0,5.0,,,76.0,,,,,,,50000001472
2007,7,7.0,,,,,,,,,,,,,,3.0,,,5.0,,,,,,,77909900008
2007,1,1.0,,,,,,5.0,,,,11.0,,,,17.0,,,27.0,,,,,,,10000000325
2007,2,30.0,42.0,3.0,,,,42.0,13.0,7.0,1.0,9.0,85.0,3.0,,338.0,,,1364.0,,15.0,8.0,,,,20000222147
2007,3,18.0,,,,,,2.0,,,,,5.0,,,8.0,,,361.0,,,,,,,30000014361
2007,7,9.0,,,,,,,,,,,,,,6.0,,,14.0,,6.0,,,,,736-4287467
2007,3,14.0,1.0,,,,,8.0,,3.0,,6.0,,,1.0,62.0,,,574.0,,7.0,,,,,30000016375
2007,3,2.0,,,,,,,,1.0,,,,,,62.0,,,3.0,,1.0,,,,,30000002469
2007,3,36.0,1.0,,,,,10.0,,,,2.0,39.0,,1.0,57.0,1.0,,658.0,,,,,,,30000017393
2007,3,1.0,,,,,,,,,,2.0,,,,31.0,,,59.0,,1.0,,,,,30000015305
2007,3,8.0,,,,,,,,1.0,,9.0,,,1.0,18.0,,,82.0,1.0,6.0,1.0,,,,30000028211
2007,3,3.0,1.0,,,,,2.0,,,,2.0,1.0,,,10.0,,,36.0,,,1.0,,,,30000001143
2007,3,2.0,36.0,2.0,,,,,34.0,1.0,,,,,1.0,364.0,,,5118.0,,,,,,,358-0692236
2007,4,1.0,,,,,,12.0,1.0,13.0,,11.0,18.0,,3.0,7.0,13.0,,445.0,,1.0,,,,,40000001195
2007,4,1.0,,,,,,,1.0,,,,,5.0,,,,,64.0,,,,,,,40000005778
2007,3,2.0,,,,,,,6.0,1.0,,46.0,,1.0,,3.0,,,4.0,,,1.0,,,,30000058396
2007,7,17.0,,,,,,,,,,,,,,5.0,,,57.0,,,,,,,77208000003
2007,7,1.0,2.0,,,,,,,1.0,,2.0,,,,109.0,,,5.0,,,,,,,72483809994
2007,1,14.0,,,,,,,,,,,,,,12.0,,,276.0,,,,,,,146-0429381
2007,2,7.0,,,,,,7.0,,,,1.0,,,,49.0,,,109.0,,2.0,,,,,20000596848
2007,7,10.0,,,,,,,,,,,,,,,,,198.0,,,,,,,720-4313024
2007,1,2.0,91.0,18.0,,,,11.0,111.0,59.0,,49.0,3.0,9.0,29.0,841.0,1.0,,10019.0,,17.0,12.0,,,,10000007745
2007,2,6.0,7.0,,1.0,,,,27.0,,,,,,3.0,92.0,,,1618.0,,3.0,,,,,20002713368
2007,5,7.0,,,,,,1.0,,,,,,,,1.0,,,140.0,,,,,,,50000063932
2007,7,15.0,117.0,8.0,,,,1.0,2.0,34.0,,1.0,,1.0,1.0,270.0,,,25.0,,17.0,10.0,,,1.0,77769600009
2007,1,2.0,,,,,,,,,,,,,,4.0,,,34.0,,,,,,,10000003839
2007,7,1.0,247.0,13.0,8.0,6.0,18.0,285.0,,61.0,,,,7.0,55.0,3258.0,,,20.0,,1.0,,,,,77343000001
2007,2,8.0,1.0,,,,,,1.0,,,,,,,1.0,,,358.0,,,,,,,20003223583
2007,2,1.0,,,,1.0,1.0,155.0,1.0,,,,280.0,,,1.0,,,280.0,,,,,,,20003317295
2007,3,1.0,5.0,,,,,,22.0,,,,6.0,1.0,,78.0,,,324.0,,1.0,,,,,30000022407
2007,5,2.0,,,,,,1.0,,,,,,,,,,,11.0,,,,,,,50000068421
2007,3,7.0,,,,,,1.0,,,,1.0,,,,2.0,,,46.0,,,,,,,30000012384
2007,3,4.0,,,,,,,,,,1.0,,,,19.0,,,28.0,,,,,,,30000008200
2007,7,4.0,8.0,1.0,,,,1.0,,4.0,,1.0,,,1.0,105.0,,,14.0,,,,,,,786-0968207
2007,2,6.0,5.0,,,,,3.0,5.0,20.0,,8.0,,1.0,1.0,248.0,,,2165.0,,2.0,,,,,20000991340
2007,5,3.0,,,,,,,,,,,,,,,,,111.0,,,,,,,50000062568
2007,1,3.0,310.0,67.0,2.0,,,232.0,1673.0,52.0,3.0,430.0,389.0,71.0,17.0,2962.0,194.0,,44272.0,,84.0,2.0,,,,10000000024
2007,1,18.0,,,,,,,,,,1.0,,,,,,,45.0,,,,,,,175-2985537
2007,2,1.0,1.0,,,,,,,,,3.0,,,,17.0,,,78.0,,,1.0,,,,20003311387
2007,3,2.0,,,,,,3.0,,,,,,,,10.0,,,101.0,,1.0,,,,,30000032511
2007,7,4.0,,,,,,,,,,,,,1.0,88.0,,,970.0,,,,,,,72467100004
2007,5,1.0,,,,,,,,,,1.0,,,,,,,24.0,,,,,,,50000060238
2007,3,5.0,,,,,,2.0,,1.0,,1.0,,,,9.0,,,38.0,,,,,,,30000005048
2007,3,3.0,,,,,,,,,,,1.0,,,2.0,,1.0,48.0,,3.0,,,,,30000027723
2007,1,2.0,1.0,,,,,5.0,,2.0,,17.0,3.0,,,136.0,,,90.0,2.0,1.0,2.0,,,,10000023038
2007,5,51.0,3.0,,,,,,47.0,3.0,,42.0,,,,32.0,,,328.0,,,1.0,,,,50000024692
2007,3,3.0,483.0,61.0,,,,273.0,196.0,291.0,36.0,173.0,95.0,38.0,22.0,8339.0,,,18376.0,14.0,568.0,139.0,,,,30000009846
2007,3,16.0,,,,,,4.0,1.0,,,4.0,1.0,,,43.0,,,144.0,,10.0,,,,,30000015714
2007,3,1.0,2.0,1.0,,,,,1.0,,,25.0,10.0,,,15.0,,1.0,83.0,,5.0,,,,,30000027233
2007,7,53.0,,,,,,,,,,,,,,19.0,,,58.0,,,1.0,,,,72482109991
2007,7,1.0,,,,,,,,,,,,,,,,,128.0,,,,,,,73833409991
2007,1,132.0,2.0,1.0,,,,10.0,2.0,,,3.0,38.0,,1.0,47.0,,,722.0,,,,,,,10000004284
2007,2,2.0,,,,,,,,1.0,,,,,1.0,2.0,,,18.0,,,1.0,,,,20000184142
2007,3,2.0,,,,,,,,,,,,,,,,,52.0,,,,,,,338-3597676
2007,3,1.0,,,,,,3.0,,,,5.0,,,,33.0,,3.0,14.0,,,,,,,30000017282
2007,7,1.0,11.0,5.0,,,,3.0,5.0,2.0,,2.0,,2.0,,115.0,,,171.0,,,,,,,73032309995
2007,1,12.0,1161.0,171.0,,,,,10.0,336.0,,30.0,12.0,70.0,8.0,5869.0,,,29235.0,,5.0,,,,,156-0811711
2007,2,1.0,126.0,12.0,,,,7.0,,29.0,,,3.0,5.0,,42.0,,,1063.0,,,,,,,20000795968
2007,3,6.0,,,,,,,,,,54.0,,,,4.0,,,115.0,,,,,,,338-3602342
2007,3,1.0,7.0,1.0,,,,,56.0,,,1.0,1.0,,,117.0,,,27.0,,,,,,,391-1168981
2007,1,1.0,,,,,,2.0,,,,1.0,,1.0,,14.0,,,122.0,,,,,,,10000013516
2007,2,760.0,657.0,108.0,,,4.0,48.0,26.0,51.0,12.0,266.0,105.0,61.0,30.0,2555.0,70.0,,13623.0,3.0,157.0,2.0,,,,20000233031
2007,1,3.0,,,,,,,,,,,,,,8.0,,,183.0,,,,,,,133-1005790
2007,3,7.0,,,,,,,,,,1.0,5.0,,,9.0,4.0,,202.0,,,,,,,30000019980
2007,3,2.0,2.0,,,,,6.0,5.0,,,16.0,,,2.0,79.0,,,123.0,,17.0,,,,,30000027933
2007,2,3.0,455.0,76.0,,,,,95.0,17.0,,38.0,,41.0,15.0,4328.0,,,42706.0,4.0,13.0,106.0,,,,20002712969
2007,5,1.0,,,,,,,1.0,,,,,,,,,,47.0,,,,,,,50000011300
2007,2,102.0,9.0,2.0,,,,21.0,94.0,17.0,6.0,117.0,11.0,2.0,,281.0,3.0,30.0,2036.0,3.0,59.0,3.0,,,,20000659855
2007,3,11.0,,,,,,4.0,,,,,,,,9.0,,,53.0,,,,,,,30000015158
2007,7,23.0,,,,,,,,,,,,,,,,,270.0,,,,,,,737-1400739
2007,3,5.0,,,,,,1.0,,2.0,,3.0,27.0,,,34.0,,,35.0,,,,,,,30000011236
2007,1,61.0,,,,,,,1.0,,,,,,,1.0,,,220.0,,1.0,,,,,10000014510
2007,3,2.0,,,,,,1.0,2.0,,,,,,,20.0,,,48.0,,2.0,,,,,30000014471
