year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q064,arid
2013,3,6.0,,,,,,1.0,19.0,,1.0,,2.0,,,38.0,,,,,,,,,30000019006
2013,1,6.0,3.0,2.0,,,,21.0,,,,,,,,40.0,,,,,,,,,10000014347
2013,2,7.0,2.0,,,,,14.0,4.0,4.0,,2.0,6.0,1.0,2.0,93.0,,,,,,,,,20000074140
2013,5,6.0,,,,,,,,,,,,,,,,,,,,,,,50000062352
2013,3,71.0,,,,,,5.0,,,,,,,,28.0,,,,,,,,,30000019980
2013,1,92.0,2.0,,,,,37.0,,5.0,,,109.0,1.0,7.0,115.0,,,,,,,,,10000704192
2013,3,6.0,,,,,,2.0,,2.0,,,3.0,,,50.0,,,,,,,,,30000019506
2013,7,1.0,3.0,,,,,,,,,5.0,,,1.0,326.0,,,,,,,,,736-4078960
2013,5,1.0,,,,,,,1.0,,,,3.0,,,1.0,,,,,,,,,50000063932
2013,2,67.0,3.0,,,,,5.0,2.0,5.0,,2.0,3.0,,2.0,80.0,,,,,1.0,,,,20000636771
2013,5,4.0,,,,,,,,,,7.0,,,,88.0,,,,,,,,,50000024524
2013,7,133.0,9.0,,7.0,,,3.0,,,,,,2.0,1.0,195.0,,,,,,,,,723-2470039
2013,1,2.0,2.0,,,,,37.0,1.0,1.0,,,19.0,1.0,1.0,414.0,,,,,1.0,,,,10000012072
2013,9,1.0,48.0,3.0,,,,41.0,,14.0,,,13.0,2.0,,604.0,,,,,1.0,,,,90000980661
2013,2,9.0,,,,,,5.0,,2.0,,1.0,6.0,,2.0,56.0,,,,,2.0,,,,20000068840
2013,5,68.0,1.0,1.0,,,,48.0,2.0,2.0,,1.0,,,1.0,101.0,,,,,,,,,50000066834
2013,1,114.0,1.0,,,,,23.0,13.0,4.0,,2.0,1.0,,2.0,97.0,,,,,2.0,,,,10000014488
2013,7,17.0,138.0,1.0,19.0,,,,,,,,,20.0,,40.0,,,,,,,,,726-0021318
2013,7,1.0,,,2.0,,,,,,,,,,,627.0,,,,,,,,,713-4362989
2013,3,10.0,,,,,,,,,,,,,,5.0,,,,,,,,,30000016179
2013,3,12.0,,,,,,5.0,4.0,3.0,,4.0,3.0,,,160.0,,,,,,,,,30000010619
2013,3,24.0,,,,,,2.0,,,,,,,,27.0,,,,,,,,,30000010007
2013,5,9.0,,,,,,,,5.0,,1.0,,,1.0,4.0,,1.0,,,,,,1.0,50000001472
2013,3,33.0,,,,,,5.0,,,,1.0,11.0,,,34.0,,,,,,,,,30000029121
2013,3,20.0,,,,,,4.0,,,,,,,,11.0,,,,,,,,,30000000902
2013,5,26.0,,,,,,,1.0,,,,,,,84.0,,,,,,,,,50000009845
2013,5,1.0,3.0,,,,,,55.0,1.0,,57.0,,1.0,1.0,104.0,,,,,4.0,,,,50000024692
2013,3,4.0,,,,,,,,,,,,,,8.0,,,,,,,,,30000019447
2013,5,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,50000068421
2013,1,1.0,3.0,,,,,8.0,,8.0,,,8.0,,1.0,18.0,,,,,,,,,10000013941
2013,5,14.0,,,,,,,8.0,,,,,,,,,,,,,,,,50000009589
2013,1,10.0,2.0,,,,,1.0,2.0,,,,1.0,,2.0,1.0,,1.0,,,,,,,10000707101
2013,9,19.0,1281.0,150.0,9.0,1.0,,215.0,22.0,68.0,,16.0,5.0,59.0,6.0,5389.0,,,,,,,,,90000497404
2013,5,14.0,,,,,,,1.0,,,1.0,,,,4.0,,,,,,,,,50000066595
2013,7,1.0,,,9.0,,,1.0,12.0,,,,,11.0,3.0,35.0,,,,,,,,,77545800001
2013,1,3.0,,,,,,16.0,,,1.0,,,,,24.0,,7.0,,,,,,,10000700887
2013,5,6.0,,,,,,,,,,,,,,,,,,,,,,,520-5799048
2013,1,5.0,1.0,,,,,,,,,,,,,54.0,,,,,,,,,10000708569
2013,1,2.0,,,,,,3.0,,1.0,,,,,,7.0,,,,,,,,,10000015401
2013,5,52.0,2.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,538-3358941
2013,5,2.0,3.0,,,,,5.0,36.0,1.0,1.0,,,,1.0,123.0,,,,,,,,,50000011570
2013,7,11.0,54.0,10.0,56.0,1.0,,2.0,245.0,,,70.0,,2.0,2.0,785.0,,,,,,,,,768-0151632
2013,3,41.0,1.0,,,,,,1.0,,,,,3.0,,15.0,,,,,,,,,338-3548886
2013,3,8.0,1.0,,,,,9.0,1.0,,,3.0,2.0,1.0,,19.0,,,,,,,,,30000017514
2013,7,1.0,46.0,,130.0,8.0,3.0,,133.0,,,15.0,,3.0,1.0,69230.0,,,,,,,,,722-3039688
2013,7,1.0,4.0,,1.0,1.0,,,,,,,,,1.0,35.0,,,,,,,,,727-0894121
2013,9,1.0,45.0,1.0,7.0,,,1.0,,5.0,,113.0,,1.0,,101.0,,,,1.0,,1.0,,,922-3798625
2013,2,45.0,22.0,4.0,,,,31.0,122.0,11.0,2.0,59.0,11.0,1.0,2.0,209.0,,2.0,,1.0,15.0,,,,20000659855
2013,3,16.0,,,,,,4.0,1.0,,,10.0,,,,32.0,,,,,5.0,,,,30000011112
2013,1,1.0,,,,,,,,,,,1.0,,,37.0,,,,,,,,,10000013516
2013,2,9.0,,,,,,7.0,2.0,,,,,,,29.0,,,,,,,,,20000456157
2013,3,11.0,,,,,,1.0,1.0,2.0,,,2.0,,,4.0,1.0,,,,,,,,30000026967
